Time,THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,1.930049E+04,0.000000E+00,9.959542E-01,0.000000E+00,1.893012E+04,0.000000E+00,9.751960E-01,0.000000E+00,2.116773E+04,3.659762E+03,1.092310E+00,2.823954E-01,1.953911E+04,0.000000E+00,1.006572E+00,0.000000E+00,2.613715E+04,3.983756E+03,1.348513E+00,3.074241E-01,2.079603E+04,0.000000E+00,1.071251E+00,0.000000E+00
00:30:00,1.930049E+04,0.000000E+00,9.959546E-01,0.000000E+00,1.893012E+04,0.000000E+00,9.751959E-01,0.000000E+00,2.116777E+04,3.572939E+03,1.092312E+00,2.756954E-01,1.953911E+04,0.000000E+00,1.006572E+00,0.000000E+00,2.613721E+04,3.878477E+03,1.348516E+00,2.993011E-01,2.079603E+04,0.000000E+00,1.071252E+00,0.000000E+00
00:45:00,1.930050E+04,0.000000E+00,9.959549E-01,0.000000E+00,1.893012E+04,0.000000E+00,9.751959E-01,0.000000E+00,2.116782E+04,3.482740E+03,1.092315E+00,2.687343E-01,1.953911E+04,0.000000E+00,1.006572E+00,0.000000E+00,2.613727E+04,3.765686E+03,1.348519E+00,2.905962E-01,2.079604E+04,0.000000E+00,1.071252E+00,0.000000E+00
01:00:00,1.930050E+04,0.000000E+00,9.959551E-01,0.000000E+00,1.893011E+04,0.000000E+00,9.751958E-01,0.000000E+00,2.116786E+04,3.391234E+03,1.092317E+00,2.616723E-01,1.953912E+04,0.000000E+00,1.006572E+00,0.000000E+00,2.613732E+04,3.646683E+03,1.348522E+00,2.814110E-01,2.079604E+04,0.000000E+00,1.071252E+00,0.000000E+00
01:15:00,1.930052E+04,0.000000E+00,9.959560E-01,0.000000E+00,1.893012E+04,0.000000E+00,9.751959E-01,0.000000E+00,2.116791E+04,3.302337E+03,1.092319E+00,2.548115E-01,1.953912E+04,0.000000E+00,1.006572E+00,0.000000E+00,2.613739E+04,3.526059E+03,1.348525E+00,2.721001E-01,2.079605E+04,0.000000E+00,1.071253E+00,0.000000E+00
01:30:00,1.930054E+04,0.000000E+00,9.959568E-01,0.000000E+00,1.893012E+04,0.000000E+00,9.751961E-01,0.000000E+00,2.116796E+04,3.216575E+03,1.092322E+00,2.481928E-01,1.953913E+04,0.000000E+00,1.006573E+00,0.000000E+00,2.613745E+04,3.407179E+03,1.348528E+00,2.629237E-01,2.079606E+04,0.000000E+00,1.071253E+00,0.000000E+00
01:45:00,1.930055E+04,0.000000E+00,9.959576E-01,0.000000E+00,1.893012E+04,0.000000E+00,9.751962E-01,0.000000E+00,2.116801E+04,3.134521E+03,1.092324E+00,2.418602E-01,1.953914E+04,0.000000E+00,1.006573E+00,0.000000E+00,2.613751E+04,3.291275E+03,1.348531E+00,2.539774E-01,2.079607E+04,0.000000E+00,1.071254E+00,0.000000E+00
02:00:00,1.930057E+04,0.000000E+00,9.959584E-01,0.000000E+00,1.893012E+04,0.000000E+00,9.751963E-01,0.000000E+00,2.116805E+04,3.056905E+03,1.092327E+00,2.358704E-01,1.953914E+04,0.000000E+00,1.006573E+00,0.000000E+00,2.613756E+04,3.179627E+03,1.348534E+00,2.453601E-01,2.079608E+04,0.000000E+00,1.071254E+00,0.000000E+00
02:15:00,1.930058E+04,0.000000E+00,9.959591E-01,0.000000E+00,1.893012E+04,0.000000E+00,9.751963E-01,0.000000E+00,2.116810E+04,2.981693E+03,1.092329E+00,2.300663E-01,1.953915E+04,0.000000E+00,1.006574E+00,0.000000E+00,2.613762E+04,3.069948E+03,1.348537E+00,2.368950E-01,2.079608E+04,0.000000E+00,1.071254E+00,0.000000E+00
02:30:00,1.930059E+04,0.000000E+00,9.959597E-01,0.000000E+00,1.893013E+04,0.000000E+00,9.751964E-01,0.000000E+00,2.116814E+04,2.908365E+03,1.092331E+00,2.244078E-01,1.953915E+04,0.000000E+00,1.006574E+00,0.000000E+00,2.613767E+04,2.962695E+03,1.348540E+00,2.286174E-01,2.079609E+04,0.000000E+00,1.071255E+00,0.000000E+00
