Time,THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,2.503361E+04,0.000000E+00,1.291800E+00,0.000000E+00,2.733796E+04,0.000000E+00,1.410673E+00,0.000000E+00,1.058839E+04,0.000000E+00,5.463943E-01,0.000000E+00,1.456514E+04,0.000000E+00,7.509520E-01,0.000000E+00
00:30:00,2.503366E+04,0.000000E+00,1.291803E+00,0.000000E+00,2.733804E+04,0.000000E+00,1.410677E+00,0.000000E+00,1.058843E+04,0.000000E+00,5.463967E-01,0.000000E+00,1.456515E+04,0.000000E+00,7.509526E-01,0.000000E+00
00:45:00,2.503371E+04,0.000000E+00,1.291806E+00,0.000000E+00,2.733812E+04,0.000000E+00,1.410681E+00,0.000000E+00,1.058847E+04,0.000000E+00,5.463988E-01,0.000000E+00,1.456516E+04,0.000000E+00,7.509531E-01,0.000000E+00
01:00:00,2.503376E+04,0.000000E+00,1.291808E+00,0.000000E+00,2.733818E+04,0.000000E+00,1.410684E+00,0.000000E+00,1.058851E+04,0.000000E+00,5.464007E-01,0.000000E+00,1.456517E+04,0.000000E+00,7.509536E-01,0.000000E+00
01:15:00,2.503381E+04,0.000000E+00,1.291811E+00,0.000000E+00,2.733826E+04,0.000000E+00,1.410688E+00,0.000000E+00,1.058855E+04,0.000000E+00,5.464027E-01,0.000000E+00,1.456518E+04,0.000000E+00,7.509542E-01,0.000000E+00
01:30:00,2.503385E+04,0.000000E+00,1.291813E+00,0.000000E+00,2.733832E+04,0.000000E+00,1.410691E+00,0.000000E+00,1.058858E+04,0.000000E+00,5.464044E-01,0.000000E+00,1.456519E+04,0.000000E+00,7.509548E-01,0.000000E+00
01:45:00,2.503389E+04,0.000000E+00,1.291815E+00,0.000000E+00,2.733839E+04,0.000000E+00,1.410694E+00,0.000000E+00,1.058861E+04,0.000000E+00,5.464060E-01,0.000000E+00,1.456520E+04,0.000000E+00,7.509553E-01,0.000000E+00
02:00:00,2.503393E+04,0.000000E+00,1.291817E+00,0.000000E+00,2.733844E+04,0.000000E+00,1.410697E+00,0.000000E+00,1.058864E+04,0.000000E+00,5.464075E-01,0.000000E+00,1.456521E+04,0.000000E+00,7.509558E-01,0.000000E+00
02:15:00,2.503397E+04,0.000000E+00,1.291819E+00,0.000000E+00,2.733850E+04,0.000000E+00,1.410700E+00,0.000000E+00,1.058867E+04,0.000000E+00,5.464089E-01,0.000000E+00,1.456522E+04,0.000000E+00,7.509563E-01,0.000000E+00
02:30:00,2.503401E+04,0.000000E+00,1.291821E+00,0.000000E+00,2.733855E+04,0.000000E+00,1.410703E+00,0.000000E+00,1.058869E+04,0.000000E+00,5.464101E-01,0.000000E+00,1.456523E+04,0.000000E+00,7.509567E-01,0.000000E+00
