Time,THERMAL ZONE 1:ANKARA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:ANKARA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:ANKARA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:ANKARA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:ANKARA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:ANKARA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:ANKARA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:ANKARA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:ANKARA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:ANKARA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,9.175567E+03,1.020175E+00,4.733945E-01,7.870516E-05,1.705177E+03,0.000000E+00,8.798342E-02,0.000000E+00,2.065194E+03,0.000000E+00,1.065278E-01,0.000000E+00,1.561464E+03,0.000000E+00,8.044184E-02,0.000000E+00,2.018036E+03,0.000000E+00,1.039528E-01,0.000000E+00
00:20:00,9.175572E+03,5.714705E-01,4.733948E-01,4.408769E-05,1.705179E+03,0.000000E+00,8.798350E-02,0.000000E+00,2.065195E+03,0.000000E+00,1.065278E-01,0.000000E+00,1.561464E+03,0.000000E+00,8.044188E-02,0.000000E+00,2.018036E+03,0.000000E+00,1.039528E-01,0.000000E+00
00:30:00,9.175576E+03,0.000000E+00,4.733950E-01,0.000000E+00,1.705180E+03,0.000000E+00,8.798357E-02,0.000000E+00,2.065196E+03,0.000000E+00,1.065279E-01,0.000000E+00,1.561465E+03,0.000000E+00,8.044191E-02,0.000000E+00,2.018036E+03,0.000000E+00,1.039528E-01,0.000000E+00
00:40:00,9.175581E+03,0.000000E+00,4.733952E-01,0.000000E+00,1.705181E+03,0.000000E+00,8.798364E-02,0.000000E+00,2.065197E+03,0.000000E+00,1.065279E-01,0.000000E+00,1.561465E+03,0.000000E+00,8.044194E-02,0.000000E+00,2.018036E+03,0.000000E+00,1.039528E-01,0.000000E+00
00:50:00,9.175584E+03,0.000000E+00,4.733954E-01,0.000000E+00,1.705183E+03,0.000000E+00,8.798370E-02,0.000000E+00,2.065197E+03,0.000000E+00,1.065279E-01,0.000000E+00,1.561466E+03,0.000000E+00,8.044196E-02,0.000000E+00,2.018036E+03,0.000000E+00,1.039528E-01,0.000000E+00
01:00:00,9.175588E+03,0.000000E+00,4.733956E-01,0.000000E+00,1.705184E+03,0.000000E+00,8.798376E-02,0.000000E+00,2.065198E+03,0.000000E+00,1.065280E-01,0.000000E+00,1.561466E+03,0.000000E+00,8.044198E-02,0.000000E+00,2.018036E+03,0.000000E+00,1.039528E-01,0.000000E+00
01:10:00,9.175591E+03,0.000000E+00,4.733958E-01,0.000000E+00,1.705185E+03,0.000000E+00,8.798380E-02,0.000000E+00,2.065198E+03,0.000000E+00,1.065280E-01,0.000000E+00,1.561467E+03,0.000000E+00,8.044200E-02,0.000000E+00,2.018036E+03,0.000000E+00,1.039528E-01,0.000000E+00
01:20:00,9.175595E+03,0.000000E+00,4.733959E-01,0.000000E+00,1.705185E+03,0.000000E+00,8.798384E-02,0.000000E+00,2.065199E+03,0.000000E+00,1.065280E-01,0.000000E+00,1.561467E+03,0.000000E+00,8.044202E-02,0.000000E+00,2.018037E+03,0.000000E+00,1.039529E-01,0.000000E+00
01:30:00,9.175598E+03,0.000000E+00,4.733961E-01,0.000000E+00,1.705186E+03,0.000000E+00,8.798388E-02,0.000000E+00,2.065200E+03,0.000000E+00,1.065281E-01,0.000000E+00,1.561467E+03,0.000000E+00,8.044203E-02,0.000000E+00,2.018037E+03,0.000000E+00,1.039529E-01,0.000000E+00
01:40:00,9.175601E+03,0.000000E+00,4.733963E-01,0.000000E+00,1.705187E+03,0.000000E+00,8.798392E-02,0.000000E+00,2.065200E+03,0.000000E+00,1.065281E-01,0.000000E+00,1.561468E+03,0.000000E+00,8.044205E-02,0.000000E+00,2.018037E+03,0.000000E+00,1.039529E-01,0.000000E+00
01:50:00,9.175604E+03,0.000000E+00,4.733964E-01,0.000000E+00,1.705187E+03,0.000000E+00,8.798395E-02,0.000000E+00,2.065201E+03,0.000000E+00,1.065281E-01,0.000000E+00,1.561468E+03,0.000000E+00,8.044206E-02,0.000000E+00,2.018037E+03,0.000000E+00,1.039529E-01,0.000000E+00
02:00:00,9.175607E+03,0.000000E+00,4.733965E-01,0.000000E+00,1.705188E+03,0.000000E+00,8.798398E-02,0.000000E+00,2.065201E+03,0.000000E+00,1.065282E-01,0.000000E+00,1.561468E+03,0.000000E+00,8.044207E-02,0.000000E+00,2.018037E+03,0.000000E+00,1.039529E-01,0.000000E+00
