Time,THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,9.782577E+03,3.992415E+02,5.047569E-01,3.912048E-02,4.564339E+03,2.235322E+04,2.355179E-01,2.192846E+00,1.538706E+04,6.168017E+02,7.923404E-01,6.046383E-02,7.869777E+03,6.148951E+03,4.061217E-01,6.027170E-01
00:20:00,9.780296E+03,3.666312E+02,5.046392E-01,3.592492E-02,4.562972E+03,2.232487E+04,2.354474E-01,2.190066E+00,1.538605E+04,5.529329E+02,7.922883E-01,5.420074E-02,7.867853E+03,6.109749E+03,4.060224E-01,5.988723E-01
00:30:00,9.778028E+03,3.347138E+02,5.045222E-01,3.279728E-02,4.561613E+03,2.229701E+04,2.353773E-01,2.187334E+00,1.538504E+04,4.906448E+02,7.922366E-01,4.809309E-02,7.865940E+03,6.070953E+03,4.059237E-01,5.950678E-01
00:40:00,9.775773E+03,3.034493E+02,5.044058E-01,2.973363E-02,4.560262E+03,2.226965E+04,2.353075E-01,2.184649E+00,1.538404E+04,4.299487E+02,7.921851E-01,4.214195E-02,7.864038E+03,6.032624E+03,4.058255E-01,5.913094E-01
00:50:00,9.773530E+03,2.726716E+02,5.042901E-01,2.671772E-02,4.558918E+03,2.224276E+04,2.352382E-01,2.182010E+00,1.538305E+04,3.708620E+02,7.921339E-01,3.634905E-02,7.862146E+03,5.994818E+03,4.057279E-01,5.876026E-01
01:00:00,9.771300E+03,2.422131E+02,5.041750E-01,2.373310E-02,4.557581E+03,2.221634E+04,2.351692E-01,2.179416E+00,1.538206E+04,3.134454E+02,7.920830E-01,3.072033E-02,7.860265E+03,5.957585E+03,4.056309E-01,5.839521E-01
01:10:00,9.771440E+03,2.143669E+02,5.041822E-01,2.100449E-02,4.557665E+03,2.219162E+04,2.351735E-01,2.176983E+00,1.538212E+04,2.595569E+02,7.920862E-01,2.543784E-02,7.860385E+03,5.923485E+03,4.056370E-01,5.806089E-01
01:20:00,9.771580E+03,1.874922E+02,5.041894E-01,1.837110E-02,4.557749E+03,2.216800E+04,2.351778E-01,2.174656E+00,1.538218E+04,2.083980E+02,7.920894E-01,2.042327E-02,7.860503E+03,5.890628E+03,4.056431E-01,5.773876E-01
01:30:00,9.771719E+03,1.616146E+02,5.041966E-01,1.583543E-02,4.557832E+03,2.214549E+04,2.351821E-01,2.172437E+00,1.538225E+04,1.599245E+02,7.920926E-01,1.567225E-02,7.860621E+03,5.859054E+03,4.056492E-01,5.742922E-01
01:40:00,9.771857E+03,1.367270E+02,5.042038E-01,1.339681E-02,4.557914E+03,2.212411E+04,2.351864E-01,2.170330E+00,1.538231E+04,1.141063E+02,7.920958E-01,1.118182E-02,7.860739E+03,5.828806E+03,4.056553E-01,5.713269E-01
