Time,THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,1.403712E+04,1.699824E+04,7.244025E-01,1.311549E+00,7.939421E+03,3.138833E+03,4.096593E-01,2.421626E-01,1.992365E+04,9.662382E+03,1.028050E+00,7.454603E-01,7.934286E+03,2.946593E+03,4.093943E-01,2.273316E-01,5.220133E+03,5.261772E+02,2.693980E-01,4.059411E-02,1.165056E+04,1.406212E+03,6.012826E-01,1.084878E-01,5.249102E+03,3.883269E+02,2.708930E-01,2.995897E-02,5.833251E+03,2.905051E+03,3.010397E-01,2.241261E-01,1.275981E+04,8.833132E+03,6.585306E-01,6.814819E-01,5.842979E+03,2.757627E+03,3.015417E-01,2.127528E-01,2.050929E+04,2.343105E+04,1.058206E+00,1.807852E+00
00:30:00,1.403875E+04,1.682708E+04,7.244863E-01,1.298330E+00,7.939463E+03,3.116639E+03,4.096614E-01,2.404495E-01,1.992376E+04,9.609829E+03,1.028056E+00,7.414028E-01,7.934328E+03,2.928543E+03,4.093965E-01,2.259381E-01,5.220155E+03,5.481035E+02,2.693992E-01,4.228562E-02,1.165062E+04,1.529084E+03,6.012857E-01,1.179670E-01,5.249125E+03,4.258443E+02,2.708942E-01,3.285333E-02,5.833462E+03,2.890770E+03,3.010506E-01,2.230232E-01,1.276029E+04,8.810590E+03,6.585554E-01,6.797393E-01,5.843191E+03,2.744993E+03,3.015527E-01,2.117771E-01,2.051058E+04,2.322404E+04,1.058273E+00,1.791875E+00
00:45:00,1.404034E+04,1.665723E+04,7.245683E-01,1.285213E+00,7.939503E+03,3.091105E+03,4.096635E-01,2.384789E-01,1.992387E+04,9.552123E+03,1.028061E+00,7.369482E-01,7.934369E+03,2.907899E+03,4.093986E-01,2.243448E-01,5.220177E+03,5.406016E+02,2.694003E-01,4.170686E-02,1.165068E+04,1.536310E+03,6.012887E-01,1.185246E-01,5.249148E+03,4.251081E+02,2.708954E-01,3.279656E-02,5.833663E+03,2.874468E+03,3.010610E-01,2.217645E-01,1.276075E+04,8.784118E+03,6.585791E-01,6.776937E-01,5.843393E+03,2.731079E+03,3.015631E-01,2.107027E-01,2.051187E+04,2.301175E+04,1.058339E+00,1.775486E+00
01:00:00,1.404189E+04,1.648883E+04,7.246485E-01,1.272200E+00,7.939543E+03,3.063393E+03,4.096656E-01,2.363403E-01,1.992397E+04,9.490819E+03,1.028067E+00,7.322166E-01,7.934409E+03,2.885535E+03,4.094006E-01,2.226189E-01,5.220199E+03,5.292678E+02,2.694015E-01,4.083243E-02,1.165074E+04,1.525100E+03,6.012916E-01,1.176596E-01,5.249170E+03,4.198761E+02,2.708966E-01,3.239291E-02,5.833854E+03,2.857037E+03,3.010708E-01,2.204190E-01,1.276118E+04,8.755041E+03,6.586017E-01,6.754477E-01,5.843585E+03,2.716799E+03,3.015730E-01,2.096003E-01,2.051315E+04,2.279786E+04,1.058405E+00,1.758961E+00
01:15:00,1.404342E+04,1.643712E+04,7.247276E-01,1.268184E+00,7.939585E+03,3.040310E+03,4.096677E-01,2.345590E-01,1.992408E+04,9.448283E+03,1.028072E+00,7.289331E-01,7.934451E+03,2.868034E+03,4.094028E-01,2.212682E-01,5.220226E+03,5.213561E+02,2.694028E-01,4.022201E-02,1.165080E+04,1.527041E+03,6.012949E-01,1.178093E-01,5.249196E+03,4.174198E+02,2.708979E-01,3.220338E-02,5.834043E+03,2.844812E+03,3.010806E-01,2.194752E-01,1.276161E+04,8.744640E+03,6.586239E-01,6.746430E-01,5.843774E+03,2.708498E+03,3.015828E-01,2.089592E-01,2.051443E+04,2.269893E+04,1.058472E+00,1.751295E+00
01:30:00,1.404492E+04,1.638835E+04,7.248049E-01,1.264389E+00,7.939627E+03,3.017131E+03,4.096699E-01,2.327703E-01,1.992419E+04,9.405313E+03,1.028078E+00,7.256163E-01,7.934493E+03,2.850529E+03,4.094050E-01,2.199172E-01,5.220252E+03,5.121205E+02,2.694041E-01,3.950945E-02,1.165086E+04,1.524152E+03,6.012982E-01,1.175864E-01,5.249222E+03,4.130712E+02,2.708993E-01,3.186788E-02,5.834223E+03,2.832734E+03,3.010899E-01,2.185428E-01,1.276203E+04,8.733632E+03,6.586453E-01,6.737914E-01,5.843956E+03,2.700824E+03,3.015922E-01,2.083665E-01,2.051571E+04,2.260332E+04,1.058538E+00,1.743880E+00
01:45:00,1.404638E+04,1.634162E+04,7.248804E-01,1.260757E+00,7.939667E+03,2.994336E+03,4.096720E-01,2.310113E-01,1.992430E+04,9.362367E+03,1.028083E+00,7.223016E-01,7.934534E+03,2.833439E+03,4.094071E-01,2.185983E-01,5.220277E+03,5.020922E+02,2.694055E-01,3.873574E-02,1.165093E+04,1.517889E+03,6.013015E-01,1.171032E-01,5.249248E+03,4.074306E+02,2.709006E-01,3.143269E-02,5.834397E+03,2.821208E+03,3.010989E-01,2.176530E-01,1.276243E+04,8.722388E+03,6.586660E-01,6.729221E-01,5.844131E+03,2.693689E+03,3.016012E-01,2.078155E-01,2.051698E+04,2.251099E+04,1.058603E+00,1.736729E+00
02:00:00,1.404781E+04,1.629711E+04,7.249539E-01,1.257309E+00,7.939707E+03,2.972388E+03,4.096740E-01,2.293178E-01,1.992440E+04,9.320479E+03,1.028089E+00,7.190690E-01,7.934574E+03,2.817190E+03,4.094092E-01,2.173445E-01,5.220302E+03,4.917342E+02,2.694068E-01,3.793661E-02,1.165099E+04,1.509532E+03,6.013047E-01,1.164583E-01,5.249273E+03,4.010272E+02,2.709019E-01,3.093866E-02,5.834565E+03,2.810230E+03,3.011075E-01,2.168057E-01,1.276282E+04,8.711183E+03,6.586860E-01,6.720562E-01,5.844299E+03,2.686921E+03,3.016099E-01,2.072929E-01,2.051823E+04,2.242221E+04,1.058668E+00,1.729866E+00
02:15:00,1.404920E+04,1.625392E+04,7.250257E-01,1.253970E+00,7.939746E+03,2.950699E+03,4.096760E-01,2.276443E-01,1.992450E+04,9.278245E+03,1.028094E+00,7.158099E-01,7.934613E+03,2.800876E+03,4.094112E-01,2.160857E-01,5.220327E+03,4.808078E+02,2.694081E-01,3.709363E-02,1.165105E+04,1.498781E+03,6.013078E-01,1.156289E-01,5.249298E+03,3.936775E+02,2.709032E-01,3.037162E-02,5.834727E+03,2.799258E+03,3.011159E-01,2.159590E-01,1.276319E+04,8.699410E+03,6.587053E-01,6.711468E-01,5.844462E+03,2.680000E+03,3.016183E-01,2.067587E-01,2.051947E+04,2.233540E+04,1.058732E+00,1.723165E+00
02:30:00,1.405055E+04,1.621210E+04,7.250956E-01,1.250742E+00,7.939784E+03,2.929200E+03,4.096780E-01,2.259856E-01,1.992460E+04,9.236000E+03,1.028099E+00,7.125503E-01,7.934652E+03,2.784499E+03,4.094132E-01,2.148221E-01,5.220352E+03,4.694971E+02,2.694093E-01,3.622099E-02,1.165111E+04,1.486215E+03,6.013109E-01,1.146593E-01,5.249323E+03,3.856197E+02,2.709044E-01,2.974996E-02,5.834884E+03,2.788222E+03,3.011240E-01,2.151074E-01,1.276355E+04,8.687296E+03,6.587240E-01,6.702114E-01,5.844619E+03,2.672724E+03,3.016264E-01,2.061971E-01,2.052070E+04,2.225072E+04,1.058795E+00,1.716632E+00
