Time,THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,1.403712E+04,1.686452E+04,7.244025E-01,1.301287E+00,7.939421E+03,2.891923E+03,4.096593E-01,2.231152E-01,1.992365E+04,9.747769E+03,1.028050E+00,7.520522E-01,7.934286E+03,2.809247E+03,4.093943E-01,2.167370E-01,5.220133E+03,4.535697E+02,2.693980E-01,3.499254E-02,1.165056E+04,1.794412E+03,6.012826E-01,1.384377E-01,5.249102E+03,3.927189E+02,2.708930E-01,3.029793E-02,5.833251E+03,2.769476E+03,3.010397E-01,2.136687E-01,1.275981E+04,9.101820E+03,6.585306E-01,7.022180E-01,5.842979E+03,2.705769E+03,3.015417E-01,2.087537E-01,2.050929E+04,2.285509E+04,1.058206E+00,1.763468E+00
00:30:00,1.403875E+04,1.669614E+04,7.244863E-01,1.288270E+00,7.939463E+03,2.874715E+03,4.096614E-01,2.217866E-01,1.992376E+04,9.693684E+03,1.028056E+00,7.478762E-01,7.934328E+03,2.792745E+03,4.093965E-01,2.154629E-01,5.220155E+03,4.351624E+02,2.693992E-01,3.357230E-02,1.165062E+04,1.729042E+03,6.012857E-01,1.333940E-01,5.249125E+03,3.641123E+02,2.708942E-01,2.809081E-02,5.833462E+03,2.756588E+03,3.010506E-01,2.126733E-01,1.276029E+04,9.069961E+03,6.585554E-01,6.997561E-01,5.843191E+03,2.694472E+03,3.015527E-01,2.078810E-01,2.051058E+04,2.266391E+04,1.058273E+00,1.748698E+00
00:45:00,1.404034E+04,1.652899E+04,7.245683E-01,1.275341E+00,7.939503E+03,2.855026E+03,4.096635E-01,2.202666E-01,1.992387E+04,9.634678E+03,1.028061E+00,7.433202E-01,7.934369E+03,2.774461E+03,4.093986E-01,2.140512E-01,5.220177E+03,4.422472E+02,2.694003E-01,3.411885E-02,1.165068E+04,1.758924E+03,6.012887E-01,1.356992E-01,5.249148E+03,3.802160E+02,2.708954E-01,2.933316E-02,5.833663E+03,2.742966E+03,3.010610E-01,2.116210E-01,1.276075E+04,9.035102E+03,6.585791E-01,6.970621E-01,5.843393E+03,2.681786E+03,3.015631E-01,2.069010E-01,2.051187E+04,2.246802E+04,1.058339E+00,1.733554E+00
01:00:00,1.404189E+04,1.636278E+04,7.246485E-01,1.262483E+00,7.939543E+03,2.833668E+03,4.096656E-01,2.186180E-01,1.992397E+04,9.572064E+03,1.028067E+00,7.384864E-01,7.934409E+03,2.754975E+03,4.094006E-01,2.125469E-01,5.220199E+03,4.344462E+02,2.694015E-01,3.351700E-02,1.165074E+04,1.740103E+03,6.012916E-01,1.342472E-01,5.249170E+03,3.763510E+02,2.708966E-01,2.903498E-02,5.833854E+03,2.728786E+03,3.010708E-01,2.105258E-01,1.276118E+04,8.998293E+03,6.586017E-01,6.942182E-01,5.843585E+03,2.668553E+03,3.015730E-01,2.058790E-01,2.051315E+04,2.227020E+04,1.058405E+00,1.718257E+00
01:15:00,1.404342E+04,1.631317E+04,7.247276E-01,1.258623E+00,7.939585E+03,2.817230E+03,4.096677E-01,2.173491E-01,1.992408E+04,9.528254E+03,1.028072E+00,7.351039E-01,7.934451E+03,2.740688E+03,4.094028E-01,2.114440E-01,5.220226E+03,4.296385E+02,2.694028E-01,3.314606E-02,1.165080E+04,1.735502E+03,6.012949E-01,1.338921E-01,5.249196E+03,3.750522E+02,2.708979E-01,2.893477E-02,5.834043E+03,2.720102E+03,3.010806E-01,2.098549E-01,1.276161E+04,8.980380E+03,6.586239E-01,6.928328E-01,5.843774E+03,2.661003E+03,3.015828E-01,2.052956E-01,2.051443E+04,2.218684E+04,1.058472E+00,1.711788E+00
01:30:00,1.404492E+04,1.626667E+04,7.248049E-01,1.255001E+00,7.939627E+03,2.800857E+03,4.096699E-01,2.160853E-01,1.992419E+04,9.484079E+03,1.028078E+00,7.316937E-01,7.934493E+03,2.726637E+03,4.094050E-01,2.103594E-01,5.220252E+03,4.231694E+02,2.694041E-01,3.264695E-02,1.165086E+04,1.726659E+03,6.012982E-01,1.332097E-01,5.249222E+03,3.716945E+02,2.708993E-01,2.867571E-02,5.834223E+03,2.711815E+03,3.010899E-01,2.092147E-01,1.276203E+04,8.962084E+03,6.586453E-01,6.914183E-01,5.843956E+03,2.654125E+03,3.015922E-01,2.047641E-01,2.051571E+04,2.210655E+04,1.058538E+00,1.705555E+00
01:45:00,1.404638E+04,1.622225E+04,7.248804E-01,1.251548E+00,7.939667E+03,2.784989E+03,4.096720E-01,2.148606E-01,1.992430E+04,9.439959E+03,1.028083E+00,7.282881E-01,7.934534E+03,2.713259E+03,4.094071E-01,2.093268E-01,5.220277E+03,4.156640E+02,2.694055E-01,3.206790E-02,1.165093E+04,1.714889E+03,6.013015E-01,1.323016E-01,5.249248E+03,3.669489E+02,2.709006E-01,2.830957E-02,5.834397E+03,2.704027E+03,3.010989E-01,2.086132E-01,1.276243E+04,8.943937E+03,6.586660E-01,6.900158E-01,5.844131E+03,2.647838E+03,3.016012E-01,2.042785E-01,2.051698E+04,2.202906E+04,1.058603E+00,1.699549E+00
02:00:00,1.404781E+04,1.618011E+04,7.249539E-01,1.248282E+00,7.939707E+03,2.769963E+03,4.096740E-01,2.137011E-01,1.992440E+04,9.396944E+03,1.028089E+00,7.249683E-01,7.934574E+03,2.700577E+03,4.094092E-01,2.083481E-01,5.220302E+03,4.076389E+02,2.694068E-01,3.144875E-02,1.165099E+04,1.701357E+03,6.013047E-01,1.312575E-01,5.249273E+03,3.613736E+02,2.709019E-01,2.787943E-02,5.834565E+03,2.696602E+03,3.011075E-01,2.080399E-01,1.276282E+04,8.926292E+03,6.586860E-01,6.886526E-01,5.844299E+03,2.641904E+03,3.016099E-01,2.038201E-01,2.051823E+04,2.195485E+04,1.058668E+00,1.693810E+00
02:15:00,1.404920E+04,1.613927E+04,7.250257E-01,1.245125E+00,7.939746E+03,2.754870E+03,4.096760E-01,2.125364E-01,1.992450E+04,9.353619E+03,1.028094E+00,7.216251E-01,7.934613E+03,2.687753E+03,4.094112E-01,2.073585E-01,5.220327E+03,3.988889E+02,2.694081E-01,3.077368E-02,1.165105E+04,1.685700E+03,6.013078E-01,1.300495E-01,5.249298E+03,3.548021E+02,2.709032E-01,2.737243E-02,5.834727E+03,2.689040E+03,3.011159E-01,2.074562E-01,1.276319E+04,8.908502E+03,6.587053E-01,6.872788E-01,5.844462E+03,2.635788E+03,3.016183E-01,2.033479E-01,2.051947E+04,2.188222E+04,1.058732E+00,1.688203E+00
02:30:00,1.405055E+04,1.609980E+04,7.250956E-01,1.242078E+00,7.939784E+03,2.739705E+03,4.096780E-01,2.113663E-01,1.992460E+04,9.310316E+03,1.028099E+00,7.182837E-01,7.934652E+03,2.674762E+03,4.094132E-01,2.063561E-01,5.220352E+03,3.896244E+02,2.694093E-01,3.005892E-02,1.165111E+04,1.668448E+03,6.013109E-01,1.287185E-01,5.249323E+03,3.474838E+02,2.709044E-01,2.680782E-02,5.834884E+03,2.681192E+03,3.011240E-01,2.068505E-01,1.276355E+04,8.890802E+03,6.587240E-01,6.859122E-01,5.844619E+03,2.629295E+03,3.016264E-01,2.028468E-01,2.052070E+04,2.181133E+04,1.058795E+00,1.682734E+00
