Time,THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,1.463710E+04,1.715673E+04,7.553643E-01,1.323837E+00,8.096689E+03,3.288054E+03,4.177721E-01,2.536766E-01,2.007791E+04,9.774249E+03,1.036007E+00,7.540958E-01,8.091824E+03,3.034928E+03,4.175211E-01,2.341481E-01,5.297230E+03,8.683013E+02,2.733763E-01,6.698936E-02,1.172186E+04,2.211466E+03,6.049618E-01,1.706137E-01,5.325163E+03,7.609455E+02,2.748179E-01,5.870680E-02,6.076579E+03,3.096064E+03,3.135969E-01,2.388644E-01,1.307328E+04,9.095106E+03,6.747086E-01,7.016993E-01,6.086454E+03,2.915719E+03,3.141065E-01,2.249520E-01,2.133262E+04,2.367510E+04,1.100684E+00,1.826735E+00
00:30:00,1.463856E+04,1.696656E+04,7.554395E-01,1.309138E+00,8.096715E+03,3.239816E+03,4.177734E-01,2.499539E-01,2.007798E+04,9.683374E+03,1.036011E+00,7.470811E-01,8.091850E+03,2.995846E+03,4.175224E-01,2.311318E-01,5.297240E+03,8.429609E+02,2.733768E-01,6.503417E-02,1.172188E+04,2.118840E+03,6.049631E-01,1.634672E-01,5.325172E+03,7.366498E+02,2.748183E-01,5.683220E-02,6.076679E+03,3.060021E+03,3.136020E-01,2.360824E-01,1.307352E+04,9.036734E+03,6.747207E-01,6.971917E-01,6.086555E+03,2.888766E+03,3.141117E-01,2.228712E-01,2.133378E+04,2.342446E+04,1.100744E+00,1.807377E+00
00:45:00,1.463998E+04,1.678008E+04,7.555127E-01,1.294717E+00,8.096740E+03,3.190865E+03,4.177747E-01,2.461762E-01,2.007805E+04,9.590664E+03,1.036014E+00,7.399247E-01,8.091875E+03,2.955798E+03,4.175237E-01,2.280410E-01,5.297249E+03,8.096023E+02,2.733773E-01,6.246042E-02,1.172191E+04,2.082457E+03,6.049643E-01,1.606600E-01,5.325181E+03,7.100903E+02,2.748188E-01,5.478304E-02,6.076777E+03,3.024968E+03,3.136071E-01,2.333767E-01,1.307374E+04,8.979063E+03,6.747325E-01,6.927377E-01,6.086652E+03,2.862976E+03,3.141167E-01,2.208799E-01,2.133493E+04,2.317406E+04,1.100804E+00,1.788028E+00
01:00:00,1.464136E+04,1.659718E+04,7.555841E-01,1.280570E+00,8.096764E+03,3.141942E+03,4.177759E-01,2.424008E-01,2.007811E+04,9.497719E+03,1.036018E+00,7.327508E-01,8.091899E+03,2.915846E+03,4.175249E-01,2.249578E-01,5.297257E+03,7.768593E+02,2.733777E-01,5.993417E-02,1.172193E+04,2.020748E+03,6.049655E-01,1.558990E-01,5.325190E+03,6.814201E+02,2.748193E-01,5.257103E-02,6.076872E+03,2.991462E+03,3.136120E-01,2.307905E-01,1.307397E+04,8.921867E+03,6.747439E-01,6.883209E-01,6.086747E+03,2.838868E+03,3.141216E-01,2.190187E-01,2.133607E+04,2.292604E+04,1.100862E+00,1.768857E+00
01:15:00,1.464271E+04,1.653383E+04,7.556537E-01,1.275648E+00,8.096787E+03,3.100029E+03,4.177771E-01,2.391666E-01,2.007818E+04,9.427185E+03,1.036021E+00,7.273065E-01,8.091922E+03,2.882634E+03,4.175261E-01,2.223948E-01,5.297266E+03,7.512996E+02,2.733782E-01,5.796212E-02,1.172195E+04,1.981851E+03,6.049666E-01,1.528979E-01,5.325198E+03,6.595888E+02,2.748197E-01,5.088666E-02,6.076964E+03,2.965399E+03,3.136168E-01,2.287788E-01,1.307418E+04,8.886076E+03,6.747551E-01,6.855562E-01,6.086840E+03,2.821916E+03,3.141264E-01,2.177098E-01,2.133720E+04,2.279715E+04,1.100921E+00,1.758875E+00
01:30:00,1.464402E+04,1.647574E+04,7.557214E-01,1.271131E+00,8.096809E+03,3.060273E+03,4.177783E-01,2.360988E-01,2.007824E+04,9.359816E+03,1.036024E+00,7.221068E-01,8.091944E+03,2.851242E+03,4.175273E-01,2.199723E-01,5.297274E+03,7.275168E+02,2.733786E-01,5.612719E-02,1.172197E+04,1.945628E+03,6.049677E-01,1.501031E-01,5.325207E+03,6.392403E+02,2.748201E-01,4.931671E-02,6.077054E+03,2.941602E+03,3.136214E-01,2.269421E-01,1.307439E+04,8.851781E+03,6.747659E-01,6.829075E-01,6.086930E+03,2.806538E+03,3.141310E-01,2.165226E-01,2.133832E+04,2.267503E+04,1.100979E+00,1.749413E+00
01:45:00,1.464530E+04,1.642130E+04,7.557874E-01,1.266905E+00,8.096831E+03,3.022687E+03,4.177794E-01,2.331986E-01,2.007830E+04,9.295994E+03,1.036027E+00,7.171814E-01,8.091966E+03,2.822026E+03,4.175284E-01,2.177179E-01,5.297282E+03,7.054573E+02,2.733790E-01,5.442522E-02,1.172199E+04,1.911971E+03,6.049687E-01,1.475063E-01,5.325215E+03,6.203664E+02,2.748205E-01,4.786054E-02,6.077142E+03,2.920201E+03,3.136259E-01,2.252904E-01,1.307460E+04,8.819383E+03,6.747764E-01,6.804057E-01,6.087017E+03,2.792355E+03,3.141356E-01,2.154276E-01,2.133944E+04,2.255882E+04,1.101036E+00,1.740419E+00
02:00:00,1.464654E+04,1.637059E+04,7.558516E-01,1.262978E+00,8.096852E+03,2.987738E+03,4.177805E-01,2.305020E-01,2.007836E+04,9.235714E+03,1.036031E+00,7.125296E-01,8.091987E+03,2.795199E+03,4.175295E-01,2.156479E-01,5.297290E+03,6.852065E+02,2.733794E-01,5.286282E-02,1.172201E+04,1.881158E+03,6.049697E-01,1.451290E-01,5.325222E+03,6.030820E+02,2.748209E-01,4.652700E-02,6.077227E+03,2.900766E+03,3.136303E-01,2.237906E-01,1.307479E+04,8.788951E+03,6.747867E-01,6.780561E-01,6.087102E+03,2.778986E+03,3.141400E-01,2.143958E-01,2.134054E+04,2.244875E+04,1.101093E+00,1.731915E+00
02:15:00,1.464775E+04,1.632236E+04,7.559141E-01,1.259251E+00,8.096872E+03,2.954440E+03,4.177815E-01,2.279329E-01,2.007842E+04,9.177152E+03,1.036033E+00,7.080109E-01,8.092007E+03,2.769960E+03,4.175305E-01,2.137006E-01,5.297297E+03,6.660684E+02,2.733798E-01,5.138628E-02,1.172203E+04,1.851826E+03,6.049706E-01,1.428660E-01,5.325230E+03,5.867141E+02,2.748213E-01,4.526419E-02,6.077310E+03,2.882319E+03,3.136346E-01,2.223672E-01,1.307499E+04,8.759630E+03,6.747967E-01,6.757928E-01,6.087185E+03,2.766012E+03,3.141442E-01,2.133944E-01,2.134163E+04,2.234256E+04,1.101149E+00,1.723718E+00
02:30:00,1.464893E+04,1.627644E+04,7.559750E-01,1.255706E+00,8.096892E+03,2.922913E+03,4.177826E-01,2.255005E-01,2.007848E+04,9.120244E+03,1.036036E+00,7.036200E-01,8.092027E+03,2.745748E+03,4.175316E-01,2.118325E-01,5.297304E+03,6.478955E+02,2.733801E-01,4.998422E-02,1.172205E+04,1.823783E+03,6.049715E-01,1.407023E-01,5.325237E+03,5.711375E+02,2.748217E-01,4.406244E-02,6.077391E+03,2.864471E+03,3.136388E-01,2.209899E-01,1.307518E+04,8.731294E+03,6.748064E-01,6.736058E-01,6.087266E+03,2.753140E+03,3.141484E-01,2.124011E-01,2.134270E+04,2.224016E+04,1.101205E+00,1.715818E+00
