Time,THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,1.496854E+04,1.532340E+04,7.724698E-01,1.182648E+00,8.376791E+03,2.195769E+03,4.322268E-01,1.694424E-01,2.087923E+04,7.219465E+03,1.077357E+00,5.571143E-01,8.371615E+03,2.026578E+03,4.319597E-01,1.563864E-01,5.591874E+03,0.000000E+00,2.885828E-01,0.000000E+00,1.243338E+04,0.000000E+00,6.416837E-01,0.000000E+00,5.621215E+03,0.000000E+00,2.900970E-01,0.000000E+00,6.306561E+03,2.326986E+03,3.254662E-01,1.795517E-01,1.379700E+04,6.967666E+03,7.120599E-01,5.376242E-01,6.316348E+03,2.082979E+03,3.259713E-01,1.607227E-01,2.159086E+04,2.057367E+04,1.114011E+00,1.587981E+00
00:30:00,1.497007E+04,1.523102E+04,7.725484E-01,1.175487E+00,8.376834E+03,2.167914E+03,4.322290E-01,1.672937E-01,2.087934E+04,7.154586E+03,1.077363E+00,5.521080E-01,8.371658E+03,2.002855E+03,4.319619E-01,1.545566E-01,5.591900E+03,0.000000E+00,2.885841E-01,0.000000E+00,1.243344E+04,0.000000E+00,6.416870E-01,0.000000E+00,5.621241E+03,0.000000E+00,2.900983E-01,0.000000E+00,6.306746E+03,2.310676E+03,3.254758E-01,1.782922E-01,1.379742E+04,6.954476E+03,7.120820E-01,5.366006E-01,6.316533E+03,2.071097E+03,3.259809E-01,1.598050E-01,2.159208E+04,2.043350E+04,1.114075E+00,1.577156E+00
00:45:00,1.497155E+04,1.513960E+04,7.726251E-01,1.168405E+00,8.376875E+03,2.137396E+03,4.322311E-01,1.649389E-01,2.087945E+04,7.083066E+03,1.077369E+00,5.465868E-01,8.371699E+03,1.976913E+03,4.319640E-01,1.525549E-01,5.591925E+03,0.000000E+00,2.885854E-01,0.000000E+00,1.243350E+04,0.000000E+00,6.416902E-01,0.000000E+00,5.621266E+03,0.000000E+00,2.900996E-01,0.000000E+00,6.306923E+03,2.291688E+03,3.254849E-01,1.768258E-01,1.379783E+04,6.935473E+03,7.121031E-01,5.351282E-01,6.316710E+03,2.056392E+03,3.259900E-01,1.586694E-01,2.159329E+04,2.028800E+04,1.114137E+00,1.565911E+00
01:00:00,1.497300E+04,1.505172E+04,7.726999E-01,1.161589E+00,8.376916E+03,2.105586E+03,4.322332E-01,1.624840E-01,2.087956E+04,7.007724E+03,1.077374E+00,5.407700E-01,8.371740E+03,1.948993E+03,4.319661E-01,1.504001E-01,5.591949E+03,0.000000E+00,2.885866E-01,0.000000E+00,1.243357E+04,0.000000E+00,6.416934E-01,0.000000E+00,5.621290E+03,0.000000E+00,2.901009E-01,0.000000E+00,6.307093E+03,2.271221E+03,3.254937E-01,1.752454E-01,1.379823E+04,6.913549E+03,7.121234E-01,5.334313E-01,6.316880E+03,2.040065E+03,3.259988E-01,1.574086E-01,2.159449E+04,2.014144E+04,1.114199E+00,1.554564E+00
01:15:00,1.497444E+04,1.499351E+04,7.727739E-01,1.157050E+00,8.376958E+03,2.074160E+03,4.322354E-01,1.600586E-01,2.087967E+04,6.932343E+03,1.077380E+00,5.349500E-01,8.371782E+03,1.920451E+03,4.319683E-01,1.481970E-01,5.591976E+03,0.000000E+00,2.885880E-01,0.000000E+00,1.243363E+04,0.000000E+00,6.416968E-01,0.000000E+00,5.621317E+03,0.000000E+00,2.901022E-01,0.000000E+00,6.307261E+03,2.250576E+03,3.255024E-01,1.736513E-01,1.379862E+04,6.891622E+03,7.121435E-01,5.317346E-01,6.317048E+03,2.023481E+03,3.260075E-01,1.561281E-01,2.159571E+04,2.002088E+04,1.114262E+00,1.545203E+00
01:30:00,1.497583E+04,1.494061E+04,7.728460E-01,1.152909E+00,8.377000E+03,2.043494E+03,4.322375E-01,1.576917E-01,2.087978E+04,6.857465E+03,1.077386E+00,5.291687E-01,8.371824E+03,1.891264E+03,4.319705E-01,1.459439E-01,5.592002E+03,0.000000E+00,2.885893E-01,0.000000E+00,1.243370E+04,0.000000E+00,6.417001E-01,0.000000E+00,5.621343E+03,0.000000E+00,2.901036E-01,0.000000E+00,6.307423E+03,2.229982E+03,3.255107E-01,1.720612E-01,1.379899E+04,6.869664E+03,7.121629E-01,5.300359E-01,6.317210E+03,2.006887E+03,3.260158E-01,1.548468E-01,2.159691E+04,1.990413E+04,1.114324E+00,1.536124E+00
01:45:00,1.497719E+04,1.488918E+04,7.729162E-01,1.148893E+00,8.377040E+03,2.014025E+03,4.322396E-01,1.554173E-01,2.087989E+04,6.783911E+03,1.077391E+00,5.234899E-01,8.371864E+03,1.861634E+03,4.319726E-01,1.436565E-01,5.592027E+03,0.000000E+00,2.885907E-01,0.000000E+00,1.243376E+04,0.000000E+00,6.417034E-01,0.000000E+00,5.621368E+03,0.000000E+00,2.901049E-01,0.000000E+00,6.307580E+03,2.209703E+03,3.255188E-01,1.704955E-01,1.379936E+04,6.848001E+03,7.121818E-01,5.283605E-01,6.317367E+03,1.990562E+03,3.260239E-01,1.535864E-01,2.159810E+04,1.979050E+04,1.114385E+00,1.527304E+00
02:00:00,1.497852E+04,1.483910E+04,7.729846E-01,1.144999E+00,8.377080E+03,1.986227E+03,4.322417E-01,1.532720E-01,2.087999E+04,6.712495E+03,1.077396E+00,5.179766E-01,8.371904E+03,1.832606E+03,4.319746E-01,1.414156E-01,5.592052E+03,0.000000E+00,2.885920E-01,0.000000E+00,1.243382E+04,0.000000E+00,6.417065E-01,0.000000E+00,5.621393E+03,0.000000E+00,2.901062E-01,0.000000E+00,6.307731E+03,2.189971E+03,3.255267E-01,1.689723E-01,1.379971E+04,6.827054E+03,7.122001E-01,5.267412E-01,6.317519E+03,1.974753E+03,3.260318E-01,1.523660E-01,2.159927E+04,1.968062E+04,1.114446E+00,1.518799E+00
02:15:00,1.497981E+04,1.478893E+04,7.730511E-01,1.141115E+00,8.377119E+03,1.959788E+03,4.322437E-01,1.512317E-01,2.088009E+04,6.641473E+03,1.077402E+00,5.124944E-01,8.371943E+03,1.803472E+03,4.319766E-01,1.391668E-01,5.592077E+03,0.000000E+00,2.885932E-01,0.000000E+00,1.243388E+04,0.000000E+00,6.417097E-01,0.000000E+00,5.621418E+03,0.000000E+00,2.901074E-01,0.000000E+00,6.307879E+03,2.170361E+03,3.255343E-01,1.674587E-01,1.380006E+04,6.805887E+03,7.122179E-01,5.251056E-01,6.317666E+03,1.959021E+03,3.260394E-01,1.511516E-01,2.160043E+04,1.957285E+04,1.114506E+00,1.510475E+00
02:30:00,1.498106E+04,1.473854E+04,7.731159E-01,1.137221E+00,8.377157E+03,1.933885E+03,4.322456E-01,1.492330E-01,2.088020E+04,6.571128E+03,1.077407E+00,5.070648E-01,8.371981E+03,1.774509E+03,4.319786E-01,1.369314E-01,5.592101E+03,0.000000E+00,2.885945E-01,0.000000E+00,1.243394E+04,0.000000E+00,6.417127E-01,0.000000E+00,5.621442E+03,0.000000E+00,2.901087E-01,0.000000E+00,6.308022E+03,2.150961E+03,3.255416E-01,1.659614E-01,1.380039E+04,6.784648E+03,7.122351E-01,5.234650E-01,6.317809E+03,1.943452E+03,3.260467E-01,1.499500E-01,2.160158E+04,1.946752E+04,1.114565E+00,1.502346E+00
