Time,THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,1.403712E+04,1.502005E+04,7.244025E-01,1.159238E+00,7.939421E+03,2.034704E+03,4.096593E-01,1.570141E-01,1.992365E+04,7.022792E+03,1.028050E+00,5.419326E-01,7.934286E+03,1.897018E+03,4.093943E-01,1.463865E-01,5.220133E+03,0.000000E+00,2.693980E-01,0.000000E+00,1.165056E+04,0.000000E+00,6.012826E-01,0.000000E+00,5.249102E+03,0.000000E+00,2.708930E-01,0.000000E+00,5.833251E+03,2.115145E+03,3.010397E-01,1.632049E-01,1.275981E+04,6.637089E+03,6.585306E-01,5.121155E-01,5.842979E+03,1.892532E+03,3.015417E-01,1.460271E-01,2.050929E+04,2.020001E+04,1.058206E+00,1.559146E+00
00:30:00,1.403875E+04,1.492995E+04,7.244863E-01,1.152254E+00,7.939463E+03,2.009164E+03,4.096614E-01,1.550441E-01,1.992376E+04,6.954536E+03,1.028056E+00,5.366657E-01,7.934328E+03,1.871434E+03,4.093965E-01,1.444128E-01,5.220155E+03,0.000000E+00,2.693992E-01,0.000000E+00,1.165062E+04,0.000000E+00,6.012857E-01,0.000000E+00,5.249125E+03,0.000000E+00,2.708942E-01,0.000000E+00,5.833462E+03,2.099465E+03,3.010506E-01,1.619942E-01,1.276029E+04,6.625612E+03,6.585554E-01,5.112247E-01,5.843191E+03,1.882083E+03,3.015527E-01,1.452202E-01,2.051058E+04,2.006547E+04,1.058273E+00,1.548755E+00
00:45:00,1.404034E+04,1.483989E+04,7.245683E-01,1.145277E+00,7.939503E+03,1.981891E+03,4.096635E-01,1.529395E-01,1.992387E+04,6.880591E+03,1.028061E+00,5.309577E-01,7.934369E+03,1.843539E+03,4.093986E-01,1.422602E-01,5.220177E+03,0.000000E+00,2.694003E-01,0.000000E+00,1.165068E+04,0.000000E+00,6.012887E-01,0.000000E+00,5.249148E+03,0.000000E+00,2.708954E-01,0.000000E+00,5.833663E+03,2.081625E+03,3.010610E-01,1.606165E-01,1.276075E+04,6.609342E+03,6.585791E-01,5.099638E-01,5.843393E+03,1.869640E+03,3.015631E-01,1.442593E-01,2.051187E+04,1.992653E+04,1.058339E+00,1.538016E+00
01:00:00,1.404189E+04,1.475231E+04,7.246485E-01,1.138483E+00,7.939543E+03,1.954044E+03,4.096656E-01,1.507904E-01,1.992397E+04,6.803883E+03,1.028067E+00,5.250360E-01,7.934409E+03,1.814250E+03,4.094006E-01,1.399997E-01,5.220199E+03,0.000000E+00,2.694015E-01,0.000000E+00,1.165074E+04,0.000000E+00,6.012916E-01,0.000000E+00,5.249170E+03,0.000000E+00,2.708966E-01,0.000000E+00,5.833854E+03,2.062607E+03,3.010708E-01,1.591481E-01,1.276118E+04,6.590714E+03,6.586017E-01,5.085216E-01,5.843585E+03,1.856022E+03,3.015730E-01,1.432078E-01,2.051315E+04,1.978721E+04,1.058405E+00,1.527228E+00
01:15:00,1.404342E+04,1.469241E+04,7.247276E-01,1.133813E+00,7.939585E+03,1.926770E+03,4.096677E-01,1.486854E-01,1.992408E+04,6.728054E+03,1.028072E+00,5.191819E-01,7.934451E+03,1.785008E+03,4.094028E-01,1.377427E-01,5.220226E+03,0.000000E+00,2.694028E-01,0.000000E+00,1.165080E+04,0.000000E+00,6.012949E-01,0.000000E+00,5.249196E+03,0.000000E+00,2.708979E-01,0.000000E+00,5.834043E+03,2.043609E+03,3.010806E-01,1.576813E-01,1.276161E+04,6.572427E+03,6.586239E-01,5.071062E-01,5.843774E+03,1.842374E+03,3.015828E-01,1.421540E-01,2.051443E+04,1.967420E+04,1.058472E+00,1.518451E+00
01:30:00,1.404492E+04,1.463455E+04,7.248049E-01,1.129287E+00,7.939627E+03,1.899324E+03,4.096699E-01,1.465669E-01,1.992419E+04,6.653413E+03,1.028078E+00,5.134193E-01,7.934493E+03,1.756049E+03,4.094050E-01,1.355073E-01,5.220252E+03,0.000000E+00,2.694041E-01,0.000000E+00,1.165086E+04,0.000000E+00,6.012982E-01,0.000000E+00,5.249222E+03,0.000000E+00,2.708993E-01,0.000000E+00,5.834223E+03,2.024783E+03,3.010899E-01,1.562277E-01,1.276203E+04,6.554275E+03,6.586453E-01,5.057014E-01,5.843956E+03,1.828794E+03,3.015922E-01,1.411053E-01,2.051571E+04,1.956520E+04,1.058538E+00,1.509971E+00
01:45:00,1.404638E+04,1.457940E+04,7.248804E-01,1.124981E+00,7.939667E+03,1.871739E+03,4.096720E-01,1.444374E-01,1.992430E+04,6.580572E+03,1.028083E+00,5.077958E-01,7.934534E+03,1.727674E+03,4.094071E-01,1.333171E-01,5.220277E+03,0.000000E+00,2.694055E-01,0.000000E+00,1.165093E+04,0.000000E+00,6.013015E-01,0.000000E+00,5.249248E+03,0.000000E+00,2.709006E-01,0.000000E+00,5.834397E+03,2.006347E+03,3.010989E-01,1.548045E-01,1.276243E+04,6.536478E+03,6.586660E-01,5.043246E-01,5.844131E+03,1.815469E+03,3.016012E-01,1.400765E-01,2.051698E+04,1.945943E+04,1.058603E+00,1.501757E+00
02:00:00,1.404781E+04,1.452654E+04,7.249539E-01,1.120872E+00,7.939707E+03,1.843913E+03,4.096740E-01,1.422894E-01,1.992440E+04,6.510143E+03,1.028089E+00,5.023589E-01,7.934574E+03,1.700165E+03,4.094092E-01,1.311939E-01,5.220302E+03,0.000000E+00,2.694068E-01,0.000000E+00,1.165099E+04,0.000000E+00,6.013047E-01,0.000000E+00,5.249273E+03,0.000000E+00,2.709019E-01,0.000000E+00,5.834565E+03,1.988510E+03,3.011075E-01,1.534276E-01,1.276282E+04,6.519378E+03,6.586860E-01,5.030023E-01,5.844299E+03,1.802595E+03,3.016099E-01,1.390827E-01,2.051823E+04,1.935747E+04,1.058668E+00,1.493864E+00
02:15:00,1.404920E+04,1.447489E+04,7.250257E-01,1.116874E+00,7.939746E+03,1.815200E+03,4.096760E-01,1.400729E-01,1.992450E+04,6.440182E+03,1.028094E+00,4.969587E-01,7.934613E+03,1.672786E+03,4.094112E-01,1.290807E-01,5.220327E+03,0.000000E+00,2.694081E-01,0.000000E+00,1.165105E+04,0.000000E+00,6.013078E-01,0.000000E+00,5.249298E+03,0.000000E+00,2.709032E-01,0.000000E+00,5.834727E+03,1.970817E+03,3.011159E-01,1.520620E-01,1.276319E+04,6.501995E+03,6.587053E-01,5.016588E-01,5.844462E+03,1.789701E+03,3.016183E-01,1.380873E-01,2.051947E+04,1.925765E+04,1.058732E+00,1.486154E+00
02:30:00,1.405055E+04,1.442460E+04,7.250956E-01,1.112988E+00,7.939784E+03,1.786539E+03,4.096780E-01,1.378605E-01,1.992460E+04,6.371026E+03,1.028099E+00,4.916209E-01,7.934652E+03,1.645695E+03,4.094132E-01,1.269899E-01,5.220352E+03,0.000000E+00,2.694093E-01,0.000000E+00,1.165111E+04,0.000000E+00,6.013109E-01,0.000000E+00,5.249323E+03,0.000000E+00,2.709044E-01,0.000000E+00,5.834884E+03,1.953346E+03,3.011240E-01,1.507136E-01,1.276355E+04,6.484464E+03,6.587240E-01,5.003044E-01,5.844619E+03,1.776864E+03,3.016264E-01,1.370965E-01,2.052070E+04,1.916028E+04,1.058795E+00,1.478639E+00
