Time,THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,1.403712E+04,1.705004E+04,7.244025E-01,1.315545E+00,7.939421E+03,3.184261E+03,4.096593E-01,2.456673E-01,1.992365E+04,9.687655E+03,1.028050E+00,7.474099E-01,7.934286E+03,2.959967E+03,4.093943E-01,2.283633E-01,5.220133E+03,5.606165E+02,2.693980E-01,4.325110E-02,1.165056E+04,1.431086E+03,6.012826E-01,1.104069E-01,5.249102E+03,4.036464E+02,2.708930E-01,3.114087E-02,5.833251E+03,2.949765E+03,3.010397E-01,2.275755E-01,1.275981E+04,8.863349E+03,6.585306E-01,6.838131E-01,5.842979E+03,2.769439E+03,3.015417E-01,2.136641E-01,2.050929E+04,2.353250E+04,1.058206E+00,1.815678E+00
00:30:00,1.403875E+04,1.687789E+04,7.244863E-01,1.302250E+00,7.939463E+03,3.161001E+03,4.096614E-01,2.438720E-01,1.992376E+04,9.635196E+03,1.028056E+00,7.433598E-01,7.934328E+03,2.941867E+03,4.093965E-01,2.269661E-01,5.220155E+03,5.774180E+02,2.693992E-01,4.454723E-02,1.165062E+04,1.555582E+03,6.012857E-01,1.200113E-01,5.249125E+03,4.388605E+02,2.708942E-01,3.385753E-02,5.833462E+03,2.934473E+03,3.010506E-01,2.263947E-01,1.276029E+04,8.839979E+03,6.585554E-01,6.820066E-01,5.843191E+03,2.756490E+03,3.015527E-01,2.126641E-01,2.051058E+04,2.332382E+04,1.058273E+00,1.799573E+00
00:45:00,1.404034E+04,1.670722E+04,7.245683E-01,1.289070E+00,7.939503E+03,3.134322E+03,4.096635E-01,2.418130E-01,1.992387E+04,9.577460E+03,1.028061E+00,7.389028E-01,7.934369E+03,2.921116E+03,4.093986E-01,2.253644E-01,5.220177E+03,5.681233E+02,2.694003E-01,4.383015E-02,1.165068E+04,1.558931E+03,6.012887E-01,1.202698E-01,5.249148E+03,4.372477E+02,2.708954E-01,3.373313E-02,5.833663E+03,2.917030E+03,3.010610E-01,2.250481E-01,1.276075E+04,8.812789E+03,6.585791E-01,6.799056E-01,5.843393E+03,2.742415E+03,3.015631E-01,2.115772E-01,2.051187E+04,2.310979E+04,1.058339E+00,1.783050E+00
01:00:00,1.404189E+04,1.653831E+04,7.246485E-01,1.276018E+00,7.939543E+03,3.105415E+03,4.096656E-01,2.395823E-01,1.992397E+04,9.516004E+03,1.028067E+00,7.341595E-01,7.934409E+03,2.898593E+03,4.094006E-01,2.236263E-01,5.220199E+03,5.552689E+02,2.694015E-01,4.283840E-02,1.165074E+04,1.546044E+03,6.012916E-01,1.192755E-01,5.249170E+03,4.313438E+02,2.708966E-01,3.327763E-02,5.833854E+03,2.898372E+03,3.010708E-01,2.236079E-01,1.276118E+04,8.783055E+03,6.586017E-01,6.776090E-01,5.843585E+03,2.728121E+03,3.015730E-01,2.104737E-01,2.051315E+04,2.289412E+04,1.058405E+00,1.766388E+00
01:15:00,1.404342E+04,1.648609E+04,7.247276E-01,1.271962E+00,7.939585E+03,3.081113E+03,4.096677E-01,2.377069E-01,1.992408E+04,9.473229E+03,1.028072E+00,7.308577E-01,7.934451E+03,2.880897E+03,4.094028E-01,2.222605E-01,5.220226E+03,5.460540E+02,2.694028E-01,4.212744E-02,1.165080E+04,1.546575E+03,6.012949E-01,1.193164E-01,5.249196E+03,4.283183E+02,2.708979E-01,3.304420E-02,5.834043E+03,2.884874E+03,3.010806E-01,2.225659E-01,1.276161E+04,8.772014E+03,6.586239E-01,6.767549E-01,5.843774E+03,2.719712E+03,3.015828E-01,2.098243E-01,2.051443E+04,2.279340E+04,1.058472E+00,1.758584E+00
01:30:00,1.404492E+04,1.643684E+04,7.248049E-01,1.268130E+00,7.939627E+03,3.056705E+03,4.096699E-01,2.358233E-01,1.992419E+04,9.429967E+03,1.028078E+00,7.275183E-01,7.934493E+03,2.863168E+03,4.094050E-01,2.208923E-01,5.220252E+03,5.356785E+02,2.694041E-01,4.132694E-02,1.165086E+04,1.542492E+03,6.012982E-01,1.190013E-01,5.249222E+03,4.234798E+02,2.708993E-01,3.267089E-02,5.834223E+03,2.871497E+03,3.010899E-01,2.215332E-01,1.276203E+04,8.760391E+03,6.586453E-01,6.758559E-01,5.843956E+03,2.711905E+03,3.015922E-01,2.092213E-01,2.051571E+04,2.269600E+04,1.058538E+00,1.751030E+00
01:45:00,1.404638E+04,1.638956E+04,7.248804E-01,1.264455E+00,7.939667E+03,3.032680E+03,4.096720E-01,2.339695E-01,1.992430E+04,9.386663E+03,1.028083E+00,7.241760E-01,7.934534E+03,2.845829E+03,4.094071E-01,2.195542E-01,5.220277E+03,5.246396E+02,2.694055E-01,4.047526E-02,1.165093E+04,1.535200E+03,6.013015E-01,1.184387E-01,5.249248E+03,4.174108E+02,2.709006E-01,3.220266E-02,5.834397E+03,2.858613E+03,3.010989E-01,2.205387E-01,1.276243E+04,8.748562E+03,6.586660E-01,6.749414E-01,5.844131E+03,2.704607E+03,3.016012E-01,2.086577E-01,2.051698E+04,2.260188E+04,1.058603E+00,1.743741E+00
02:00:00,1.404781E+04,1.634436E+04,7.249539E-01,1.260954E+00,7.939707E+03,3.009492E+03,4.096740E-01,2.321803E-01,1.992440E+04,9.344374E+03,1.028089E+00,7.209124E-01,7.934574E+03,2.829324E+03,4.094092E-01,2.182806E-01,5.220302E+03,5.133755E+02,2.694068E-01,3.960621E-02,1.165099E+04,1.525946E+03,6.013047E-01,1.177247E-01,5.249273E+03,4.106287E+02,2.709019E-01,3.167941E-02,5.834565E+03,2.846386E+03,3.011075E-01,2.195950E-01,1.276282E+04,8.736809E+03,6.586860E-01,6.740332E-01,5.844299E+03,2.697673E+03,3.016099E-01,2.081223E-01,2.051823E+04,2.251132E+04,1.058668E+00,1.736741E+00
02:15:00,1.404920E+04,1.630047E+04,7.250257E-01,1.257561E+00,7.939746E+03,2.986614E+03,4.096760E-01,2.304150E-01,1.992450E+04,9.301706E+03,1.028094E+00,7.176199E-01,7.934613E+03,2.812755E+03,4.094112E-01,2.170021E-01,5.220327E+03,5.016299E+02,2.694081E-01,3.870003E-02,1.165105E+04,1.514409E+03,6.013078E-01,1.168345E-01,5.249298E+03,4.029416E+02,2.709032E-01,3.108633E-02,5.834727E+03,2.834220E+03,3.011159E-01,2.186562E-01,1.276319E+04,8.724510E+03,6.587053E-01,6.730832E-01,5.844462E+03,2.690587E+03,3.016183E-01,2.075753E-01,2.051947E+04,2.242275E+04,1.058732E+00,1.729904E+00
02:30:00,1.405055E+04,1.625794E+04,7.250956E-01,1.254278E+00,7.939784E+03,2.963978E+03,4.096780E-01,2.286686E-01,1.992460E+04,9.259006E+03,1.028099E+00,7.143252E-01,7.934652E+03,2.796126E+03,4.094132E-01,2.157191E-01,5.220352E+03,4.895729E+02,2.694093E-01,3.776981E-02,1.165111E+04,1.501148E+03,6.013109E-01,1.158114E-01,5.249323E+03,3.945805E+02,2.709044E-01,3.044127E-02,5.834884E+03,2.822046E+03,3.011240E-01,2.177168E-01,1.276355E+04,8.711896E+03,6.587240E-01,6.721093E-01,5.844619E+03,2.683161E+03,3.016264E-01,2.070022E-01,2.052070E+04,2.233632E+04,1.058795E+00,1.723236E+00
