Time,THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:CAIRO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,1.403712E+04,1.710102E+04,7.244025E-01,1.319535E+00,7.939421E+03,3.249661E+03,4.096593E-01,2.507142E-01,1.992365E+04,9.765685E+03,1.028050E+00,7.534345E-01,7.934286E+03,2.989400E+03,4.093943E-01,2.306354E-01,5.220133E+03,6.217712E+02,2.693980E-01,4.796921E-02,1.165056E+04,1.653255E+03,6.012826E-01,1.275486E-01,5.249102E+03,4.648376E+02,2.708930E-01,3.586168E-02,5.833251E+03,3.003481E+03,3.010397E-01,2.317211E-01,1.275981E+04,8.914210E+03,6.585306E-01,6.877426E-01,5.842979E+03,2.784943E+03,3.015417E-01,2.148619E-01,2.050929E+04,2.366674E+04,1.058206E+00,1.826087E+00
00:30:00,1.403875E+04,1.692832E+04,7.244863E-01,1.306185E+00,7.939463E+03,3.224771E+03,4.096614E-01,2.487930E-01,1.992376E+04,9.712764E+03,1.028056E+00,7.493483E-01,7.934328E+03,2.971071E+03,4.093965E-01,2.292203E-01,5.220155E+03,6.105037E+02,2.693992E-01,4.709987E-02,1.165062E+04,1.559933E+03,6.012857E-01,1.203473E-01,5.249125E+03,4.511024E+02,2.708942E-01,3.480206E-02,5.833462E+03,2.986885E+03,3.010506E-01,2.304396E-01,1.276029E+04,8.889458E+03,6.585554E-01,6.858292E-01,5.843191E+03,2.771769E+03,3.015527E-01,2.138444E-01,2.051058E+04,2.345587E+04,1.058273E+00,1.809798E+00
00:45:00,1.404034E+04,1.675745E+04,7.245683E-01,1.292970E+00,7.939503E+03,3.196412E+03,4.096635E-01,2.466041E-01,1.992387E+04,9.654404E+03,1.028061E+00,7.448421E-01,7.934369E+03,2.950008E+03,4.093986E-01,2.275943E-01,5.220177E+03,6.020045E+02,2.694003E-01,4.644411E-02,1.165068E+04,1.602461E+03,6.012887E-01,1.236281E-01,5.249148E+03,4.559830E+02,2.708954E-01,3.517856E-02,5.833663E+03,2.968079E+03,3.010610E-01,2.289874E-01,1.276075E+04,8.861256E+03,6.585791E-01,6.836491E-01,5.843393E+03,2.757752E+03,3.015631E-01,2.127617E-01,2.051187E+04,2.323972E+04,1.058339E+00,1.793092E+00
01:00:00,1.404189E+04,1.658804E+04,7.246485E-01,1.279865E+00,7.939543E+03,3.165747E+03,4.096656E-01,2.442373E-01,1.992397E+04,9.592007E+03,1.028067E+00,7.400250E-01,7.934409E+03,2.927053E+03,4.094006E-01,2.258225E-01,5.220199E+03,5.866951E+02,2.694015E-01,4.526295E-02,1.165074E+04,1.586283E+03,6.012916E-01,1.223800E-01,5.249170E+03,4.484629E+02,2.708966E-01,3.459838E-02,5.833854E+03,2.947952E+03,3.010708E-01,2.274336E-01,1.276118E+04,8.830556E+03,6.586017E-01,6.812768E-01,5.843585E+03,2.743583E+03,3.015730E-01,2.116674E-01,2.051315E+04,2.302160E+04,1.058405E+00,1.776228E+00
01:15:00,1.404342E+04,1.653518E+04,7.247276E-01,1.275752E+00,7.939585E+03,3.139646E+03,4.096677E-01,2.422230E-01,1.992408E+04,9.548062E+03,1.028072E+00,7.366322E-01,7.934451E+03,2.908833E+03,4.094028E-01,2.244161E-01,5.220226E+03,5.754330E+02,2.694028E-01,4.439403E-02,1.165080E+04,1.584071E+03,6.012949E-01,1.222092E-01,5.249196E+03,4.441586E+02,2.708979E-01,3.426628E-02,5.834043E+03,2.932928E+03,3.010806E-01,2.262736E-01,1.276161E+04,8.818514E+03,6.586239E-01,6.803445E-01,5.843774E+03,2.735082E+03,3.015828E-01,2.110106E-01,2.051443E+04,2.291827E+04,1.058472E+00,1.768218E+00
01:30:00,1.404492E+04,1.648523E+04,7.248049E-01,1.271864E+00,7.939627E+03,3.113423E+03,4.096699E-01,2.401993E-01,1.992419E+04,9.503495E+03,1.028078E+00,7.331916E-01,7.934493E+03,2.890515E+03,4.094050E-01,2.230023E-01,5.220252E+03,5.633005E+02,2.694041E-01,4.345797E-02,1.165086E+04,1.577581E+03,6.012982E-01,1.217085E-01,5.249222E+03,4.382455E+02,2.708993E-01,3.381007E-02,5.834223E+03,2.917993E+03,3.010899E-01,2.251206E-01,1.276203E+04,8.805890E+03,6.586453E-01,6.793676E-01,5.843956E+03,2.727020E+03,3.015922E-01,2.103878E-01,2.051571E+04,2.281819E+04,1.058538E+00,1.760457E+00
01:45:00,1.404638E+04,1.643727E+04,7.248804E-01,1.268137E+00,7.939667E+03,3.087582E+03,4.096720E-01,2.382052E-01,1.992430E+04,9.458731E+03,1.028083E+00,7.297363E-01,7.934534E+03,2.872531E+03,4.094071E-01,2.216143E-01,5.220277E+03,5.507364E+02,2.694055E-01,4.248862E-02,1.165093E+04,1.568209E+03,6.013015E-01,1.209853E-01,5.249248E+03,4.312664E+02,2.709006E-01,3.327161E-02,5.834397E+03,2.903513E+03,3.010989E-01,2.240028E-01,1.276243E+04,8.793090E+03,6.586660E-01,6.783778E-01,5.844131E+03,2.719483E+03,3.016012E-01,2.098056E-01,2.051698E+04,2.272138E+04,1.058603E+00,1.752961E+00
02:00:00,1.404781E+04,1.639150E+04,7.249539E-01,1.264591E+00,7.939707E+03,3.062572E+03,4.096740E-01,2.362754E-01,1.992440E+04,9.414880E+03,1.028089E+00,7.263521E-01,7.934574E+03,2.855360E+03,4.094092E-01,2.202893E-01,5.220302E+03,5.381329E+02,2.694068E-01,4.151623E-02,1.165099E+04,1.557144E+03,6.013047E-01,1.201315E-01,5.249273E+03,4.237036E+02,2.709019E-01,3.268812E-02,5.834565E+03,2.889787E+03,3.011075E-01,2.229435E-01,1.276282E+04,8.780420E+03,6.586860E-01,6.773985E-01,5.844299E+03,2.712313E+03,3.016099E-01,2.092520E-01,2.051823E+04,2.262815E+04,1.058668E+00,1.745754E+00
02:15:00,1.404920E+04,1.634697E+04,7.250257E-01,1.261150E+00,7.939746E+03,3.037916E+03,4.096760E-01,2.343730E-01,1.992450E+04,9.370585E+03,1.028094E+00,7.229340E-01,7.934613E+03,2.838132E+03,4.094112E-01,2.189599E-01,5.220327E+03,5.252011E+02,2.694081E-01,4.051853E-02,1.165105E+04,1.544022E+03,6.013078E-01,1.191191E-01,5.249298E+03,4.153404E+02,2.709032E-01,3.204290E-02,5.834727E+03,2.876182E+03,3.011159E-01,2.218936E-01,1.276319E+04,8.767244E+03,6.587053E-01,6.763807E-01,5.844462E+03,2.704993E+03,3.016183E-01,2.086869E-01,2.051947E+04,2.253689E+04,1.058732E+00,1.738710E+00
02:30:00,1.405055E+04,1.630372E+04,7.250956E-01,1.257811E+00,7.939784E+03,3.013584E+03,4.096780E-01,2.324957E-01,1.992460E+04,9.326219E+03,1.028099E+00,7.195106E-01,7.934652E+03,2.820854E+03,4.094132E-01,2.176268E-01,5.220352E+03,5.120850E+02,2.694093E-01,3.950660E-02,1.165111E+04,1.529366E+03,6.013109E-01,1.179884E-01,5.249323E+03,4.063891E+02,2.709044E-01,3.135230E-02,5.834884E+03,2.862637E+03,3.011240E-01,2.208484E-01,1.276355E+04,8.753807E+03,6.587240E-01,6.753431E-01,5.844619E+03,2.697378E+03,3.016264E-01,2.080992E-01,2.052070E+04,2.244781E+04,1.058795E+00,1.731837E+00
