Time,THERMAL ZONE 1:REYKJAVIK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:ATHENS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:REYKJAVIK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:ATHENS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:REYKJAVIK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:ATHENS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:REYKJAVIK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:ATHENS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:REYKJAVIK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:ATHENS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:REYKJAVIK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:ATHENS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:REYKJAVIK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:ATHENS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:REYKJAVIK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:ATHENS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:REYKJAVIK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:ATHENS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:REYKJAVIK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:ATHENS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:REYKJAVIK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:ATHENS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:REYKJAVIK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:ATHENS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.889749E+04,2.105275E+03,9.752372E-01,1.624300E-01,2.690137E+03,0.000000E+00,1.388180E-01,0.000000E+00,2.027810E+04,7.976856E+03,1.046487E+00,6.155085E-01,2.688615E+03,2.836444E+02,1.387394E-01,2.188300E-02,2.845955E+04,9.198229E+03,1.468411E+00,7.097468E-01,4.091377E+03,5.260444E+02,2.110907E-01,4.058533E-02
00:20:00,1.889744E+04,1.959925E+03,9.752346E-01,1.512150E-01,2.690134E+03,0.000000E+00,1.388178E-01,0.000000E+00,2.027806E+04,7.851358E+03,1.046484E+00,6.058197E-01,2.688613E+03,2.895006E+02,1.387393E-01,2.233484E-02,2.845953E+04,9.048444E+03,1.468410E+00,6.981847E-01,4.091381E+03,5.251086E+02,2.110909E-01,4.051321E-02
00:30:00,1.889739E+04,1.814413E+03,9.752319E-01,1.399877E-01,2.690131E+03,0.000000E+00,1.388177E-01,0.000000E+00,2.027801E+04,7.726470E+03,1.046482E+00,5.961782E-01,2.688611E+03,2.941003E+02,1.387393E-01,2.268974E-02,2.845951E+04,8.897635E+03,1.468409E+00,6.865437E-01,4.091385E+03,5.236068E+02,2.110911E-01,4.039740E-02
00:40:00,1.889734E+04,1.669618E+03,9.752293E-01,1.288156E-01,2.690128E+03,0.000000E+00,1.388175E-01,0.000000E+00,2.027797E+04,7.602313E+03,1.046480E+00,5.865923E-01,2.688609E+03,2.976436E+02,1.387392E-01,2.296312E-02,2.845949E+04,8.746476E+03,1.468408E+00,6.748748E-01,4.091388E+03,5.217578E+02,2.110913E-01,4.025477E-02
00:50:00,1.889728E+04,1.525950E+03,9.752267E-01,1.177305E-01,2.690124E+03,0.000000E+00,1.388174E-01,0.000000E+00,2.027792E+04,7.479116E+03,1.046477E+00,5.770793E-01,2.688607E+03,3.003019E+02,1.387391E-01,2.316823E-02,2.845946E+04,8.595355E+03,1.468406E+00,6.632077E-01,4.091391E+03,5.199035E+02,2.110914E-01,4.011173E-02
01:00:00,1.889723E+04,1.383709E+03,9.752240E-01,1.067555E-01,2.690121E+03,0.000000E+00,1.388172E-01,0.000000E+00,2.027788E+04,7.356918E+03,1.046475E+00,5.676424E-01,2.688605E+03,3.022050E+02,1.387389E-01,2.331507E-02,2.845944E+04,8.444534E+03,1.468405E+00,6.515628E-01,4.091394E+03,5.176771E+02,2.110916E-01,3.993994E-02
01:10:00,1.889725E+04,1.343409E+03,9.752248E-01,1.036456E-01,2.690123E+03,0.000000E+00,1.388173E-01,0.000000E+00,2.027791E+04,7.332628E+03,1.046477E+00,5.657594E-01,2.688610E+03,3.038401E+02,1.387392E-01,2.344123E-02,2.845949E+04,8.391186E+03,1.468408E+00,6.474384E-01,4.091403E+03,5.155191E+02,2.110920E-01,3.977344E-02
01:20:00,1.889726E+04,1.306053E+03,9.752255E-01,1.007633E-01,2.690125E+03,0.000000E+00,1.388174E-01,0.000000E+00,2.027795E+04,7.309172E+03,1.046479E+00,5.639410E-01,2.688615E+03,3.050332E+02,1.387395E-01,2.353329E-02,2.845955E+04,8.338883E+03,1.468411E+00,6.433950E-01,4.091412E+03,5.131888E+02,2.110925E-01,3.959365E-02
01:30:00,1.889727E+04,1.270631E+03,9.752261E-01,9.803012E-02,2.690126E+03,0.000000E+00,1.388175E-01,0.000000E+00,2.027799E+04,7.286267E+03,1.046481E+00,5.621660E-01,2.688620E+03,3.058762E+02,1.387397E-01,2.359834E-02,2.845960E+04,8.287498E+03,1.468413E+00,6.394237E-01,4.091421E+03,5.107173E+02,2.110930E-01,3.940296E-02
01:40:00,1.889729E+04,1.236720E+03,9.752268E-01,9.541362E-02,2.690128E+03,0.000000E+00,1.388175E-01,0.000000E+00,2.027803E+04,7.263848E+03,1.046483E+00,5.604301E-01,2.688624E+03,3.064488E+02,1.387399E-01,2.364252E-02,2.845965E+04,8.237131E+03,1.468416E+00,6.355326E-01,4.091429E+03,5.081446E+02,2.110934E-01,3.920446E-02
