Time,THERMAL ZONE 1:ROME ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:ROME ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:ROME ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:ROME ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:ROME ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:ROME ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:ROME ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:ROME ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:ROME ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:ROME ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:ROME ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:ROME ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:ROME ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:ROME ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:ROME ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:ROME ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:ROME ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:ROME ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:ROME ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:ROME ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:ROME ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:ROME ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:ROME ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:ROME ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:ROME ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:ROME ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:ROME ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:ROME ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:ROME ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:ROME ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:ROME ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:ROME ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,4.907043E+03,1.311716E+03,2.532020E-01,1.012447E-01,4.906524E+03,1.355860E+03,2.531753E-01,1.046536E-01,1.692369E+03,0.000000E+00,8.732767E-02,0.000000E+00,9.071165E+03,1.833810E+03,4.680606E-01,1.415120E-01,6.074807E+03,0.000000E+00,3.135012E-01,0.000000E+00,1.150202E+03,0.000000E+00,5.935788E-02,0.000000E+00,3.193725E+03,0.000000E+00,1.648209E-01,0.000000E+00,3.193562E+03,0.000000E+00,1.648125E-01,0.000000E+00
00:30:00,4.907065E+03,1.277474E+03,2.532031E-01,9.859918E-02,4.906547E+03,1.321994E+03,2.531764E-01,1.020369E-01,1.692383E+03,0.000000E+00,8.732838E-02,0.000000E+00,9.071202E+03,1.798690E+03,4.680625E-01,1.388025E-01,6.074819E+03,0.000000E+00,3.135019E-01,0.000000E+00,1.150207E+03,0.000000E+00,5.935814E-02,0.000000E+00,3.193733E+03,0.000000E+00,1.648213E-01,0.000000E+00,3.193570E+03,0.000000E+00,1.648129E-01,0.000000E+00
00:45:00,4.907086E+03,1.243917E+03,2.532042E-01,9.600670E-02,4.906568E+03,1.288607E+03,2.531775E-01,9.945729E-02,1.692395E+03,0.000000E+00,8.732903E-02,0.000000E+00,9.071237E+03,1.760887E+03,4.680643E-01,1.358853E-01,6.074831E+03,0.000000E+00,3.135025E-01,0.000000E+00,1.150212E+03,0.000000E+00,5.935838E-02,0.000000E+00,3.193740E+03,0.000000E+00,1.648217E-01,0.000000E+00,3.193577E+03,0.000000E+00,1.648133E-01,0.000000E+00
01:00:00,4.907106E+03,1.211278E+03,2.532053E-01,9.348513E-02,4.906587E+03,1.255954E+03,2.531785E-01,9.693445E-02,1.692407E+03,0.000000E+00,8.732963E-02,0.000000E+00,9.071270E+03,1.721344E+03,4.680660E-01,1.328335E-01,6.074842E+03,0.000000E+00,3.135030E-01,0.000000E+00,1.150216E+03,0.000000E+00,5.935860E-02,0.000000E+00,3.193747E+03,0.000000E+00,1.648220E-01,0.000000E+00,3.193584E+03,0.000000E+00,1.648136E-01,0.000000E+00
01:15:00,4.907125E+03,1.180101E+03,2.532062E-01,9.107651E-02,4.906606E+03,1.224554E+03,2.531795E-01,9.450834E-02,1.692418E+03,0.000000E+00,8.733019E-02,0.000000E+00,9.071301E+03,1.682096E+03,4.680676E-01,1.298042E-01,6.074853E+03,0.000000E+00,3.135036E-01,0.000000E+00,1.150220E+03,0.000000E+00,5.935881E-02,0.000000E+00,3.193754E+03,0.000000E+00,1.648224E-01,0.000000E+00,3.193590E+03,0.000000E+00,1.648139E-01,0.000000E+00
01:30:00,4.907143E+03,1.150524E+03,2.532072E-01,8.879107E-02,4.906624E+03,1.194574E+03,2.531804E-01,9.219154E-02,1.692428E+03,0.000000E+00,8.733072E-02,0.000000E+00,9.071331E+03,1.643747E+03,4.680692E-01,1.268443E-01,6.074863E+03,0.000000E+00,3.135041E-01,0.000000E+00,1.150224E+03,0.000000E+00,5.935900E-02,0.000000E+00,3.193760E+03,0.000000E+00,1.648227E-01,0.000000E+00,3.193596E+03,0.000000E+00,1.648142E-01,0.000000E+00
01:45:00,4.907160E+03,1.122286E+03,2.532080E-01,8.660949E-02,4.906642E+03,1.165775E+03,2.531813E-01,8.996648E-02,1.692438E+03,0.000000E+00,8.733121E-02,0.000000E+00,9.071360E+03,1.606676E+03,4.680706E-01,1.239829E-01,6.074872E+03,0.000000E+00,3.135046E-01,0.000000E+00,1.150227E+03,0.000000E+00,5.935917E-02,0.000000E+00,3.193765E+03,0.000000E+00,1.648230E-01,0.000000E+00,3.193602E+03,0.000000E+00,1.648145E-01,0.000000E+00
02:00:00,4.907176E+03,1.095422E+03,2.532089E-01,8.453464E-02,4.906658E+03,1.138218E+03,2.531822E-01,8.783793E-02,1.692447E+03,0.000000E+00,8.733167E-02,0.000000E+00,9.071387E+03,1.571202E+03,4.680720E-01,1.212450E-01,6.074881E+03,0.000000E+00,3.135050E-01,0.000000E+00,1.150230E+03,0.000000E+00,5.935933E-02,0.000000E+00,3.193771E+03,0.000000E+00,1.648232E-01,0.000000E+00,3.193608E+03,0.000000E+00,1.648148E-01,0.000000E+00
02:15:00,4.907192E+03,1.069307E+03,2.532097E-01,8.251809E-02,4.906674E+03,1.111300E+03,2.531830E-01,8.575925E-02,1.692455E+03,0.000000E+00,8.733210E-02,0.000000E+00,9.071413E+03,1.536356E+03,4.680734E-01,1.185556E-01,6.074890E+03,0.000000E+00,3.135055E-01,0.000000E+00,1.150233E+03,0.000000E+00,5.935949E-02,0.000000E+00,3.193776E+03,0.000000E+00,1.648235E-01,0.000000E+00,3.193613E+03,0.000000E+00,1.648151E-01,0.000000E+00
02:30:00,4.907207E+03,1.043941E+03,2.532105E-01,8.055964E-02,4.906689E+03,1.085040E+03,2.531837E-01,8.373179E-02,1.692463E+03,0.000000E+00,8.733251E-02,0.000000E+00,9.071438E+03,1.502253E+03,4.680747E-01,1.159236E-01,6.074898E+03,0.000000E+00,3.135059E-01,0.000000E+00,1.150236E+03,0.000000E+00,5.935963E-02,0.000000E+00,3.193781E+03,0.000000E+00,1.648238E-01,0.000000E+00,3.193618E+03,0.000000E+00,1.648153E-01,0.000000E+00
02:45:00,4.907221E+03,1.019338E+03,2.532112E-01,7.866040E-02,4.906703E+03,1.059472E+03,2.531845E-01,8.175796E-02,1.692471E+03,0.000000E+00,8.733290E-02,0.000000E+00,9.071462E+03,1.469007E+03,4.680759E-01,1.133577E-01,6.074906E+03,0.000000E+00,3.135063E-01,0.000000E+00,1.150239E+03,0.000000E+00,5.935976E-02,0.000000E+00,3.193785E+03,0.000000E+00,1.648240E-01,0.000000E+00,3.193622E+03,0.000000E+00,1.648156E-01,0.000000E+00
03:00:00,4.907235E+03,9.955220E+02,2.532119E-01,7.682200E-02,4.906717E+03,1.034632E+03,2.531852E-01,7.984052E-02,1.692478E+03,0.000000E+00,8.733327E-02,0.000000E+00,9.071484E+03,1.436727E+03,4.680771E-01,1.108664E-01,6.074913E+03,0.000000E+00,3.135067E-01,0.000000E+00,1.150241E+03,0.000000E+00,5.935989E-02,0.000000E+00,3.193790E+03,0.000000E+00,1.648242E-01,0.000000E+00,3.193627E+03,0.000000E+00,1.648158E-01,0.000000E+00
03:15:00,4.907248E+03,9.718416E+02,2.532126E-01,7.499419E-02,4.906730E+03,1.009884E+03,2.531859E-01,7.793027E-02,1.692484E+03,0.000000E+00,8.733362E-02,0.000000E+00,9.071506E+03,1.404266E+03,4.680782E-01,1.083612E-01,6.074920E+03,0.000000E+00,3.135070E-01,0.000000E+00,1.150243E+03,0.000000E+00,5.936001E-02,0.000000E+00,3.193794E+03,0.000000E+00,1.648244E-01,0.000000E+00,3.193631E+03,0.000000E+00,1.648160E-01,0.000000E+00
