Time,THERMAL ZONE 1:OSLO/FORNEBU ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:OSLO/FORNEBU ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:OSLO/FORNEBU ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:SINGAPORE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:OSLO/FORNEBU ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:SINGAPORE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,1.201519E+05,7.464561E+03,6.199500E+00,5.759160E-01,1.302045E+04,3.637629E+03,6.718402E-01,2.807820E-01
00:30:00,1.201522E+05,7.278310E+03,6.199512E+00,5.615474E-01,1.302048E+04,3.602654E+03,6.718420E-01,2.780772E-01
00:45:00,1.201524E+05,7.003535E+03,6.199523E+00,5.403492E-01,1.302052E+04,3.559674E+03,6.718437E-01,2.747550E-01
01:00:00,1.201526E+05,6.718413E+03,6.199533E+00,5.183516E-01,1.302055E+04,3.510300E+03,6.718452E-01,2.709395E-01
01:15:00,1.201527E+05,6.443756E+03,6.199542E+00,4.971607E-01,1.302057E+04,3.468501E+03,6.718467E-01,2.677088E-01
01:30:00,1.201529E+05,6.174154E+03,6.199551E+00,4.763598E-01,1.302060E+04,3.423218E+03,6.718480E-01,2.642095E-01
01:45:00,1.201531E+05,5.914000E+03,6.199559E+00,4.562877E-01,1.302062E+04,3.375246E+03,6.718492E-01,2.605035E-01
02:00:00,1.201532E+05,5.664059E+03,6.199567E+00,4.370036E-01,1.302065E+04,3.325350E+03,6.718504E-01,2.566502E-01
02:15:00,1.201534E+05,5.419714E+03,6.199575E+00,4.181511E-01,1.302067E+04,3.274016E+03,6.718515E-01,2.526869E-01
02:30:00,1.201535E+05,5.179537E+03,6.199582E+00,3.996201E-01,1.302069E+04,3.221799E+03,6.718525E-01,2.486560E-01
02:45:00,1.201537E+05,4.942343E+03,6.199589E+00,3.813192E-01,1.302071E+04,3.169146E+03,6.718534E-01,2.445918E-01
03:00:00,1.201538E+05,4.709939E+03,6.199596E+00,3.633878E-01,1.302072E+04,3.116421E+03,6.718543E-01,2.405222E-01
03:15:00,1.201539E+05,4.477762E+03,6.199602E+00,3.454739E-01,1.302074E+04,3.063728E+03,6.718552E-01,2.364552E-01
03:30:00,1.201540E+05,4.246392E+03,6.199608E+00,3.276222E-01,1.302075E+04,3.011301E+03,6.718560E-01,2.324088E-01
03:45:00,1.201541E+05,4.014400E+03,6.199613E+00,3.097227E-01,1.302077E+04,2.959325E+03,6.718567E-01,2.283973E-01
04:00:00,1.201542E+05,3.779952E+03,6.199619E+00,2.916336E-01,1.302078E+04,2.907944E+03,6.718575E-01,2.244317E-01
04:15:00,1.201543E+05,3.547648E+03,6.199624E+00,2.737100E-01,1.302080E+04,2.857458E+03,6.718582E-01,2.205352E-01
04:30:00,1.201544E+05,3.318122E+03,6.199629E+00,2.560007E-01,1.302081E+04,2.807960E+03,6.718588E-01,2.167150E-01
04:45:00,1.201545E+05,3.092915E+03,6.199633E+00,2.386247E-01,1.302082E+04,2.759525E+03,6.718595E-01,2.129769E-01
05:00:00,1.201546E+05,2.873810E+03,6.199638E+00,2.217197E-01,1.302083E+04,2.712217E+03,6.718601E-01,2.093257E-01
05:15:00,1.201547E+05,2.680245E+03,6.199642E+00,2.067852E-01,1.302084E+04,2.666651E+03,6.718606E-01,2.058091E-01
05:30:00,1.201548E+05,2.516027E+03,6.199646E+00,1.941150E-01,1.302086E+04,2.622880E+03,6.718612E-01,2.024310E-01
05:45:00,1.201548E+05,2.383562E+03,6.199650E+00,1.838947E-01,1.302087E+04,2.580961E+03,6.718617E-01,1.991959E-01
06:00:00,1.201549E+05,2.283509E+03,6.199654E+00,1.761753E-01,1.302088E+04,2.540955E+03,6.718622E-01,1.961084E-01
06:15:00,1.162690E+05,1.055848E+04,5.999150E+00,8.419200E-01,1.255930E+04,3.852140E+03,6.480456E-01,3.182319E-01
