Time,THERMAL ZONE 1:MOSCOW ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:SHANGHAI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:MOSCOW ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:SHANGHAI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:MOSCOW ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:SHANGHAI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:MOSCOW ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:SHANGHAI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:MOSCOW ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:SHANGHAI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:MOSCOW ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:SHANGHAI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:MOSCOW ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:SHANGHAI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:MOSCOW ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:SHANGHAI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:MOSCOW ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:SHANGHAI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:MOSCOW ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:SHANGHAI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,5.434507E+04,6.461219E+03,2.804574E+00,4.985527E-01,6.035456E+04,1.936954E+04,3.114708E+00,1.494774E+00,8.825119E+04,2.299774E+04,4.553285E+00,1.775125E+00,1.875823E+03,8.676107E+03,9.681909E-02,6.696123E-01,8.438351E+03,1.216486E+04,4.354789E-01,9.389551E-01
00:20:00,5.434463E+04,6.462289E+03,2.804551E+00,4.986367E-01,6.035411E+04,1.932350E+04,3.114684E+00,1.491202E+00,8.825079E+04,2.293965E+04,4.553264E+00,1.770643E+00,1.875820E+03,8.634171E+03,9.681894E-02,6.663463E-01,8.438364E+03,1.211855E+04,4.354795E-01,9.353443E-01
00:30:00,5.434419E+04,6.451793E+03,2.804529E+00,4.978269E-01,6.035365E+04,1.927546E+04,3.114660E+00,1.487480E+00,8.825039E+04,2.287322E+04,4.553243E+00,1.765514E+00,1.875817E+03,8.588967E+03,9.681877E-02,6.628339E-01,8.438375E+03,1.206956E+04,4.354801E-01,9.315344E-01
00:40:00,5.434375E+04,6.431018E+03,2.804506E+00,4.962235E-01,6.035318E+04,1.922578E+04,3.114637E+00,1.483633E+00,8.824998E+04,2.280030E+04,4.553222E+00,1.759882E+00,1.875814E+03,8.541171E+03,9.681860E-02,6.591212E-01,8.438384E+03,1.201847E+04,4.354806E-01,9.275662E-01
00:50:00,5.434331E+04,6.402243E+03,2.804484E+00,4.940026E-01,6.035272E+04,1.917487E+04,3.114613E+00,1.479691E+00,8.824957E+04,2.272210E+04,4.553201E+00,1.753841E+00,1.875811E+03,8.491202E+03,9.681842E-02,6.552382E-01,8.438391E+03,1.196565E+04,4.354809E-01,9.234652E-01
01:00:00,5.434288E+04,6.367062E+03,2.804461E+00,4.912871E-01,6.035226E+04,1.912311E+04,3.114589E+00,1.475685E+00,8.824915E+04,2.263980E+04,4.553180E+00,1.747482E+00,1.875807E+03,8.439380E+03,9.681824E-02,6.512101E-01,8.438398E+03,1.191139E+04,4.354812E-01,9.192523E-01
01:10:00,5.434292E+04,6.366918E+03,2.804463E+00,4.912749E-01,6.035237E+04,1.910983E+04,3.114595E+00,1.474648E+00,8.824931E+04,2.259416E+04,4.553188E+00,1.743952E+00,1.875811E+03,8.451169E+03,9.681846E-02,6.520895E-01,8.438424E+03,1.191939E+04,4.354826E-01,9.198456E-01
01:20:00,5.434297E+04,6.363732E+03,2.804466E+00,4.910283E-01,6.035248E+04,1.909684E+04,3.114600E+00,1.473636E+00,8.824946E+04,2.254738E+04,4.553195E+00,1.740335E+00,1.875815E+03,8.462596E+03,9.681867E-02,6.529412E-01,8.438450E+03,1.192653E+04,4.354839E-01,9.203732E-01
01:30:00,5.434301E+04,6.358300E+03,2.804468E+00,4.906084E-01,6.035259E+04,1.908423E+04,3.114606E+00,1.472653E+00,8.824960E+04,2.250010E+04,4.553203E+00,1.736680E+00,1.875819E+03,8.472732E+03,9.681887E-02,6.536982E-01,8.438475E+03,1.193257E+04,4.354852E-01,9.208197E-01
01:40:00,5.434305E+04,6.351200E+03,2.804470E+00,4.900598E-01,6.035269E+04,1.907211E+04,3.114611E+00,1.471710E+00,8.824974E+04,2.245280E+04,4.553210E+00,1.733025E+00,1.875823E+03,8.481541E+03,9.681907E-02,6.543602E-01,8.438498E+03,1.193753E+04,4.354864E-01,9.211871E-01
