Time,THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:MILANO-LINATE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:MILANO-LINATE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,3.205813E+03,1.798433E+03,1.654208E-01,1.764940E-01,1.359943E+04,3.877782E+02,7.001166E-01,3.801015E-02,4.638813E+03,1.331185E+02,2.393150E-01,1.304467E-02,6.810291E+03,3.502801E+03,3.514407E-01,3.434859E-01
00:20:00,3.205813E+03,1.762868E+03,1.654208E-01,1.730013E-01,1.359943E+04,3.257613E+02,7.001166E-01,3.192963E-02,4.638813E+03,1.101407E+02,2.393150E-01,1.079284E-02,6.810291E+03,3.463317E+03,3.514407E-01,3.396169E-01
00:30:00,3.205813E+03,1.728231E+03,1.654208E-01,1.695998E-01,1.359943E+04,2.650393E+02,7.001165E-01,2.597669E-02,4.638813E+03,8.744220E+01,2.393150E-01,8.568443E-03,6.810291E+03,3.425263E+03,3.514407E-01,3.358873E-01
00:40:00,3.205812E+03,1.694583E+03,1.654208E-01,1.662955E-01,1.359943E+04,2.056297E+02,7.001165E-01,2.015299E-02,4.638813E+03,6.504154E+01,2.393150E-01,6.373314E-03,6.810290E+03,3.388061E+03,3.514407E-01,3.322405E-01
00:50:00,3.205812E+03,1.661479E+03,1.654208E-01,1.630450E-01,1.359943E+04,1.475451E+02,7.001165E-01,1.445979E-02,4.638812E+03,4.486310E+01,2.393150E-01,4.396004E-03,6.810290E+03,3.351347E+03,3.514407E-01,3.286404E-01
01:00:00,3.205812E+03,1.629001E+03,1.654207E-01,1.598550E-01,1.359943E+04,9.928885E+01,7.001165E-01,9.730203E-03,4.638812E+03,2.852451E+01,2.393150E-01,2.794995E-03,6.810290E+03,3.314670E+03,3.514407E-01,3.250431E-01
01:10:00,3.205812E+03,1.597797E+03,1.654207E-01,1.567899E-01,1.359943E+04,6.050812E+01,7.001165E-01,5.929528E-03,4.638812E+03,1.589180E+01,2.393150E-01,1.557147E-03,6.810290E+03,3.278025E+03,3.514407E-01,3.214478E-01
01:20:00,3.205812E+03,1.567851E+03,1.654207E-01,1.538482E-01,1.359943E+04,3.119433E+01,7.001165E-01,3.056798E-03,4.638812E+03,6.944465E+00,2.393150E-01,6.804382E-04,6.810290E+03,3.242150E+03,3.514407E-01,3.179269E-01
01:30:00,3.205812E+03,1.539145E+03,1.654207E-01,1.510283E-01,1.359943E+04,1.134456E+01,7.001165E-01,1.111637E-03,4.638812E+03,1.658428E+00,2.393150E-01,1.624946E-04,6.810290E+03,3.206909E+03,3.514407E-01,3.144687E-01
01:40:00,3.205812E+03,1.511534E+03,1.654207E-01,1.483158E-01,1.359943E+04,9.477329E-01,7.001165E-01,9.286232E-05,4.638812E+03,0.000000E+00,2.393150E-01,0.000000E+00,6.810290E+03,3.172618E+03,3.514407E-01,3.111039E-01
